,date_index,P_0,P_1,action,,,,,
0,168,0,-6.143689659,L,,,,,
1,236,-6.143689659,3.461537406,S,9.605227066,,,,
2,239,3.461537406,5.453590676,S,,9.437453541,,,
3,245,5.453590676,7.441274547,S,,11.42950681,,,
4,254,7.441274547,8.700450737,S,,13.41719068,,,
5,259,8.700450737,9.326469854,S,,14.67636687,,,
6,303,9.326469854,-5.975916135,L,,15.30238599,,,
7,345,-5.975916135,0.247574606,S,,,0.379676544,,
8,348,0.247574606,1.393850786,S,,,6.603167284,,
9,360,1.393850786,2.399711198,S,,,7.749443465,,
10,479,2.399711198,-6.355592679,L,,,8.755303876,,
11,483,-6.355592679,-7.951772701,L,,,,5.715414448,
12,486,-7.951772701,-0.64017823,S,,,,7.31159447,
13,544,-0.64017823,1.066040178,S,,,,,-0.302521682
14,547,1.066040178,4.569457607,S,,,,,1.403696726
15,550,4.569457607,6.659673616,S,,,,,4.907114156
16,558,6.659673616,7.892968841,S,,,,,6.997330165
17,560,7.892968841,9.316519361,S,,,,,8.230625389
18,637,9.316519361,3.566939713,S,,,,,9.654175909
19,679,3.566939713,7.560093186,S,,,,,3.904596261
20,685,7.560093186,-0.337656548,L,,,,,7.897749734
21,709,-0.337656548,-7.393588206,L,,,,,
22,714,-7.393588206,-8.444047149,L,,,,,
23,735,-8.444047149,-9.297074101,L,,,,,
24,737,-9.297074101,-10.28935871,L,,,,,
25,743,-10.28935871,-15.92854514,L,,,,,
26,756,-15.92854514,-19.55504312,L,,,,,
27,766,-19.55504312,-15.63799701,L,,,,,
28,773,-15.63799701,-17.43019552,L,,,,,
29,785,-17.43019552,-19.08209236,L,,,,,
30,786,-19.08209236,-19.50970606,L,,,,,
31,792,-19.50970606,-19.22005686,L,,,,,
32,798,-19.22005686,-19.31232676,L,,,,,
33,801,-19.31232676,-20.50534218,L,,,,,
34,811,-20.50534218,-9.697990102,L,,,,,
35,822,-9.697990102,-5.179758685,L,,,,,
36,828,-5.179758685,-6.932654298,L,,,,,
37,830,-6.932654298,-9.059982136,L,,,,,
38,838,-9.059982136,-1.249456316,S,,,,,
39,845,-1.249456316,-6.606698035,L,,,,,
40,862,-6.606698035,-6.068486239,L,,,,,
41,870,-6.068486239,-0.455842682,S,,,,,
42,872,-0.455842682,-3.649207909,L,,,,,
43,878,-3.649207909,-11.92731045,L,,,,,
44,891,-11.92731045,1.324789741,S,,,,,
45,906,1.324789741,4.084432529,S,,,,,
46,914,4.084432529,-4.480262837,L,,,,,
47,925,-4.480262837,-4.368894819,L,,,,,
48,928,-4.368894819,-12.08409248,L,,,,,
49,932,-12.08409248,-14.70465906,L,,,,,
50,975,-14.70465906,2.293181172,S,,,,,
51,977,2.293181172,3.782050057,S,,,,,
52,983,3.782050057,6.787456516,S,,,,,
53,997,6.787456516,11.45745337,S,,,,,
54,1001,11.45745337,12.63829347,S,,,,,
55,1010,12.63829347,12.6265048,S,,,,,
56,1024,12.6265048,12.11174568,S,,,,,
57,1026,12.11174568,13.45812471,S,,,,,
58,1067,13.45812471,-4.291382614,L,,,,,
59,1102,-4.291382614,-9.013562455,L,,,,,
60,1115,-9.013562455,-12.80312706,L,,,,,
61,1120,-12.80312706,-7.173315541,L,,,,,
62,1165,-7.173315541,1.748388523,S,,,,,
63,1170,1.748388523,-2.879213623,L,,,,,
64,1174,-2.879213623,4.546286329,S,,,,,
65,1207,4.546286329,4.853094697,S,,,,,
66,1210,4.853094697,7.561620081,S,,,,,
67,1236,7.561620081,-4.185024467,L,,,,,
68,1240,-4.185024467,1.023571673,S,,,,,
69,1243,1.023571673,2.594608229,S,,,,,
70,1245,2.594608229,-5.463521487,L,,,,,
71,1251,-5.463521487,-0.259384972,S,,,,,
72,1265,-0.259384972,3.171336955,S,,,,,
73,1268,3.171336955,-0.930842673,L,,,,,
74,1280,-0.930842673,3.178767709,S,,,,,
75,1304,3.178767709,-0.755638923,L,,,,,
76,1319,-0.755638923,4.814961663,S,,,,,
77,1347,4.814961663,6.603062534,S,,,,,
78,1364,6.603062534,7.041568138,S,,,,,
79,1376,7.041568138,-10.30642274,L,,,,,
80,1381,-10.30642274,-11.6456305,L,,,,,
81,1383,-11.6456305,-15.1025925,L,,,,,
82,1385,-15.1025925,-17.37752824,L,,,,,
83,1392,-17.37752824,-18.49828678,L,,,,,
84,1405,-18.49828678,-12.33064149,L,,,,,
85,1433,-12.33064149,-2.45088555,L,,,,,
86,1442,-2.45088555,-5.908026759,L,,,,,
87,1454,-5.908026759,4.295381644,S,,,,,
88,1458,4.295381644,-5.337863629,L,,,,,
89,1461,-5.337863629,-15.39798744,L,,,,,
90,1472,-15.39798744,1.438531073,S,,,,,
91,1479,1.438531073,0.032541576,L,,,,,
92,1483,0.032541576,8.540239457,S,,,,,
93,1487,8.540239457,11.90860067,S,,,,,
94,1504,11.90860067,4.464389773,S,,,,,
