,day_index,lastdateIncludedInModel,trend_predict,seed
0,3651,2020-05-28,DOWN,123
1,3652,2020-05-29,DOWN,123
2,3653,2020-06-01,DOWN,123
3,3654,2020-06-02,DOWN,123
4,3655,2020-06-03,DOWN,123
5,3656,2020-06-04,UP,789
6,3657,2020-06-05,-,329
7,3658,2020-06-08,UP,456
8,3659,2020-06-09,-,329
9,3660,2020-06-10,-,329
10,3661,2020-06-11,-,329
11,3662,2020-06-12,-,329
12,3663,2020-06-15,-,329
13,3664,2020-06-16,-,329
14,3665,2020-06-17,UP,123
15,3666,2020-06-18,-,329
16,3667,2020-06-19,-,329
17,3668,2020-06-22,-,329
18,3669,2020-06-23,-,329
19,3670,2020-06-24,-,329
20,3671,2020-06-25,-,329
21,3672,2020-06-26,-,329
22,3673,2020-06-29,DOWN,329
23,3674,2020-06-30,DOWN,789
24,3675,2020-07-01,DOWN,123
25,3676,2020-07-02,UP,789
26,3677,2020-07-06,UP,123
27,3678,2020-07-07,UP,789
28,3679,2020-07-08,DOWN,329
29,3680,2020-07-09,-,329
30,3681,2020-07-10,-,329
31,3682,2020-07-13,DOWN,329
32,3683,2020-07-14,DOWN,329
33,3684,2020-07-15,DOWN,789
34,3685,2020-07-16,DOWN,789
35,3686,2020-07-17,DOWN,123
36,3687,2020-07-20,DOWN,123
37,3688,2020-07-21,DOWN,123
38,3689,2020-07-22,DOWN,123
39,3690,2020-07-23,DOWN,123
40,3691,2020-07-24,DOWN,123
41,3692,2020-07-27,DOWN,789
42,3693,2020-07-28,DOWN,123
43,3694,2020-07-29,DOWN,123
44,3695,2020-07-30,DOWN,123
45,3696,2020-07-31,DOWN,123
46,3697,2020-08-03,DOWN,123
47,3698,2020-08-04,DOWN,123
48,3699,2020-08-05,DOWN,123
49,3700,2020-08-06,UP,789
50,3701,2020-08-07,-,329
51,3702,2020-08-10,UP,123
52,3703,2020-08-11,-,329
53,3704,2020-08-12,-,329
54,3705,2020-08-13,-,329
55,3706,2020-08-14,-,329
56,3707,2020-08-17,-,329
57,3708,2020-08-18,UP,789
58,3709,2020-08-19,-,329
59,3710,2020-08-20,-,329
60,3711,2020-08-21,-,329
61,3712,2020-08-24,UP,123
62,3713,2020-08-25,UP,123
63,3714,2020-08-26,-,329
64,3715,2020-08-27,UP,456
65,3716,2020-08-28,-,329
66,3717,2020-08-31,-,329
67,3718,2020-09-01,-,329
68,3719,2020-09-02,UP,123
69,3720,2020-09-03,UP,123
70,3721,2020-09-04,UP,123
71,3722,2020-09-08,UP,789
72,3723,2020-09-09,UP,123
73,3724,2020-09-10,-,329
74,3725,2020-09-11,UP,123
75,3726,2020-09-14,DOWN,456
76,3727,2020-09-15,DOWN,456
77,3728,2020-09-16,DOWN,123
78,3729,2020-09-17,UP,456
79,3730,2020-09-18,DOWN,123
80,3731,2020-09-21,-,329
81,3732,2020-09-22,DOWN,789
82,3733,2020-09-23,DOWN,123
83,3734,2020-09-24,UP,329
84,3735,2020-09-25,UP,123
85,3736,2020-09-28,DOWN,123
86,3737,2020-09-29,DOWN,123
87,3738,2020-09-30,UP,123
88,3739,2020-10-01,UP,123
89,3740,2020-10-02,DOWN,123
90,3741,2020-10-05,-,329
91,3742,2020-10-06,-,329
92,3743,2020-10-07,DOWN,789
93,3744,2020-10-08,DOWN,456
94,3745,2020-10-09,DOWN,123
95,3746,2020-10-12,-,329
96,3747,2020-10-13,UP,123
97,3748,2020-10-14,DOWN,789
98,3749,2020-10-15,DOWN,789
99,3750,2020-10-16,DOWN,123
100,3751,2020-10-19,DOWN,123
101,3752,2020-10-20,DOWN,123
102,3753,2020-10-21,DOWN,123
103,3754,2020-10-22,DOWN,123
104,3755,2020-10-23,-,329
105,3756,2020-10-26,DOWN,789
106,3757,2020-10-27,-,329
107,3758,2020-10-28,DOWN,329
108,3759,2020-10-29,UP,123
109,3760,2020-10-30,UP,123
110,3761,2020-11-02,UP,123
111,3762,2020-11-03,UP,456
112,3763,2020-11-04,UP,123
113,3764,2020-11-05,UP,123
114,3765,2020-11-06,UP,123
115,3766,2020-11-09,UP,123
116,3767,2020-11-10,UP,123
117,3768,2020-11-11,UP,123
118,3769,2020-11-12,UP,123
119,3770,2020-11-13,UP,123
