t_stat,p_value,CI_1,CI_5,CI_10,i,j,i_sybl,j_sybl,i_sect,j_sect
-11.889912959217249,6.815615482495903e-21,-3.8998894807164266,-3.338053299857698,-3.045784819346823,19,433,AIG,V,Financials,Information Technology
-9.936844514627973,3.581770271341063e-16,-3.898589985833011,-3.3373290266098814,-3.045282202010446,187,224,GLW,ILMN,Information Technology,Health Care
-9.381287813743006,9.238879957407328e-15,-3.897850247842016,-3.3369165849187805,-3.044995958309874,286,447,MKC,WEC,Consumer Staples,Utilities
-9.249476518021591,2.005234281539037e-14,-3.899887309145208,-3.3380520898105295,-3.0457839796685255,19,348,AIG,PM,Financials,Consumer Staples
-8.306248298950191,5.099554516768595e-12,-3.8997161267256155,-3.337956700284287,-3.045717786285397,155,407,ETFC,TEL,Financials,Information Technology
-7.8555916634464555,6.949738991808751e-11,-3.897850247842016,-3.3369165849187805,-3.044995958309874,83,447,CHD,WEC,Consumer Staples,Utilities
-7.566445828461518,3.6284469173422134e-10,-3.8999157545953262,-3.3380679401663658,-3.045794978565934,19,51,AIG,AWK,Financials,Utilities
-7.443148234648387,7.290205858584461e-10,-3.8998894807164266,-3.338053299857698,-3.045784819346823,70,433,C,V,Financials,Information Technology
-7.402210295851942,9.181253985119645e-10,-3.899785172720161,-3.3379951761023112,-3.045744485818573,284,426,MGM,ULTA,Consumer Discretionary,Consumer Discretionary
-7.371062504840879,1.093842260829983e-09,-3.897850247842016,-3.3369165849187805,-3.044995958309874,83,152,CHD,ES,Consumer Staples,Utilities
-7.310547793820221,1.5357307062915116e-09,-3.897850247842016,-3.3369165849187805,-3.044995958309874,72,258,CAG,LEG,Consumer Staples,Consumer Discretionary
-7.228636896235773,2.4261225367629623e-09,-3.897850247842016,-3.3369165849187805,-3.044995958309874,65,286,BLL,MKC,Materials,Consumer Staples
-7.205246650951498,2.763343921889842e-09,-3.897850247842016,-3.3369165849187805,-3.044995958309874,191,356,GPC,PSA,Consumer Discretionary,Real Estate
-6.92823737793953,1.2704612936039456e-08,-3.8979547981864693,-3.3369748836327053,-3.0450364200268485,374,447,ROP,WEC,Industrials,Utilities
-6.872502488867585,1.720412318282974e-08,-3.897850247842016,-3.3369165849187805,-3.044995958309874,152,286,ES,MKC,Utilities,Consumer Staples
-6.854300031726138,1.89893188413091e-08,-3.8986299680335668,-3.337351315649319,-3.045297670576568,16,194,AES,GRMN,Utilities,Consumer Discretionary
-6.827320765122061,2.197580427370524e-08,-3.897850247842016,-3.3369165849187805,-3.044995958309874,83,313,CHD,NKE,Consumer Staples,Consumer Discretionary
-6.803273722585307,2.5024647307902337e-08,-3.897850247842016,-3.3369165849187805,-3.044995958309874,43,65,APD,BLL,Materials,Materials
