Symbol,Name,Sector,Market Cap
MMM,3M Company,Industrials,138.721055226
AOS,A.O. Smith Corp,Industrials,10.783419933
ABT,Abbott Laboratories,Health Care,102.121042306
ABBV,AbbVie Inc.,Health Care,181.386347059
ACN,Accenture plc,Information Technology,98.765855553
ATVI,Activision Blizzard,Information Technology,52.518668144
AYI,Acuity Brands Inc,Industrials,6.242377704
ADBE,Adobe Systems Inc,Information Technology,94.550214268
AAP,Advance Auto Parts,Consumer Discretionary,8.123611867
AMD,Advanced Micro Devices Inc,Information Technology,11.191663795
AES,AES Corp,Utilities,6.920851212
AET,Aetna Inc,Health Care,59.197016353
AMG,Affiliated Managers Group Inc,Financials,10.442174371
AFL,AFLAC Inc,Financials,33.422948
A,Agilent Technologies Inc,Health Care,21.984606918
APD,Air Products & Chemicals Inc,Materials,34.638387128
AKAM,Akamai Technologies Inc,Information Technology,10.906904066
ALK,Alaska Air Group Inc,Industrials,7.903173734
ALB,Albemarle Corp,Materials,11.782151266
ARE,Alexandria Real Estate Equities Inc,Real Estate,12.043374429
ALXN,Alexion Pharmaceuticals,Health Care,26.172439795
ALGN,Align Technology,Health Care,18.788041378
ALLE,Allegion,Industrials,7.599609494
AGN,"Allergan, Plc",Health Care,56.668833898
ADS,Alliance Data Systems,Information Technology,13.632608582
LNT,Alliant Energy Corp,Utilities,8.6701635
ALL,Allstate Corp,Financials,34.759468905
GOOGL,Alphabet Inc Class A,Information Technology,733.823966137
GOOG,Alphabet Inc Class C,Information Technology,728.53555814
MO,Altria Group Inc,Consumer Staples,126.985101434
AMZN,Amazon.com Inc,Consumer Discretionary,685.873374731
AEE,Ameren Corp,Utilities,12.905744906
AAL,American Airlines Group,Industrials,24.594852352
AEP,American Electric Power,Utilities,31.701916517
AXP,American Express Co,Financials,80.41099
AIG,"American International Group, Inc.",Financials,54.360073164
AMT,American Tower Corp A,Real Estate,59.21389264
AWK,American Water Works Company Inc,Utilities,13.906146184
AMP,Ameriprise Financial,Financials,23.472126
ABC,AmerisourceBergen Corp,Health Care,20.587704101
AME,AMETEK Inc,Industrials,17.139651923
AMGN,Amgen Inc,Health Care,128.13334
APH,Amphenol Corp,Information Technology,26.955335395
APC,Anadarko Petroleum Corp,Energy,32.129091747
ADI,"Analog Devices, Inc.",Information Technology,31.811578855
ANDV,Andeavor,Energy,15.696449735
ANSS,ANSYS,Information Technology,13.155919129
ANTM,Anthem Inc.,Health Care,61.221978627
AON,Aon plc,Financials,35.123123422
APA,Apache Corporation,Energy,15.066280977
AIV,Apartment Investment & Management,Real Estate,6.156884142
AAPL,Apple Inc.,Information Technology,809.50803402
AMAT,Applied Materials Inc,Information Technology,51.296481503
APTV,Aptiv Plc,Consumer Discretionary,24.9065303
ADM,Archer-Daniels-Midland Co,Consumer Staples,23.594770663
ARNC,Arconic Inc,Industrials,12.1233
AJG,Arthur J. Gallagher & Co.,Financials,11.96848829
AIZ,Assurant Inc,Financials,4.653993594
T,AT&T Inc,Telecommunication Services,226.71327
ADSK,Autodesk Inc,Information Technology,24.348294504
ADP,Automatic Data Processing,Information Technology,50.337702249
AZO,AutoZone Inc,Consumer Discretionary,19.922021415
AVB,"AvalonBay Communities, Inc.",Real Estate,21.85654743
AVY,Avery Dennison Corp,Materials,10.104814319
BHGE,"Baker Hughes, a GE Company",Energy,32.995712852
BLL,Ball Corp,Materials,13.767688518
BAC,Bank of America Corp,Financials,321.478200969
BAX,Baxter International Inc.,Health Care,35.713732553
BBT,BB&T Corporation,Financials,42.08756292
BDX,Becton Dickinson,Health Care,50.910180308
BRK.B,Berkshire Hathaway,Financials,261.401203633
BBY,Best Buy Co. Inc.,Consumer Discretionary,20.831186176
BIIB,Biogen Inc.,Health Care,69.157726427
BLK,BlackRock,Financials,85.907759858
HRB,Block H&R,Financials,5.381433872
BA,Boeing Company,Industrials,205.617405233
BWA,BorgWarner,Consumer Discretionary,11.596117445
BXP,Boston Properties,Real Estate,17.799878487
BSX,Boston Scientific,Health Care,36.142506007
