,day_index,trend_predict
213,2213,-
214,2214,-
215,2215,-
216,2216,-
217,2217,-
218,2218,-
219,2219,-
220,2220,-
221,2221,-
222,2222,-
223,2223,-
224,2224,-
225,2225,-
226,2226,-
227,2227,-
228,2228,-
229,2229,-
230,2230,UP
231,2231,-
232,2232,DOWN
233,2233,-
234,2234,-
235,2235,-
236,2236,-
237,2237,-
238,2238,-
239,2239,-
240,2240,-
241,2241,-
242,2242,-
243,2243,UP
244,2244,UP
245,2245,UP
246,2246,UP
247,2247,-
248,2248,-
249,2249,UP
250,2250,UP
251,2251,-
252,2252,UP
253,2253,UP
254,2254,UP
255,2255,-
256,2256,UP
257,2257,-
258,2258,UP
259,2259,-
260,2260,UP
261,2261,-
262,2262,-
263,2263,-
264,2264,-
265,2265,-
266,2266,-
267,2267,-
268,2268,-
269,2269,-
270,2270,-
271,2271,-
272,2272,-
273,2273,-
274,2274,UP
275,2275,UP
276,2276,-
277,2277,-
278,2278,UP
279,2279,UP
280,2280,-
281,2281,-
282,2282,-
283,2283,-
284,2284,-
285,2285,-
286,2286,-
287,2287,-
288,2288,-
289,2289,UP
290,2290,-
291,2291,-
292,2292,UP
293,2293,-
294,2294,UP
295,2295,-
296,2296,-
297,2297,-
298,2298,-
299,2299,-
300,2300,-
301,2301,-
302,2302,-
303,2303,-
304,2304,-
305,2305,-
306,2306,-
307,2307,-
308,2308,-
309,2309,-
310,2310,-
311,2311,UP
312,2312,-
313,2313,UP
314,2314,-
315,2315,-
316,2316,-
317,2317,-
318,2318,-
319,2319,UP
320,2320,-
321,2321,-
322,2322,-
323,2323,UP
324,2324,-
325,2325,-
326,2326,-
327,2327,-
328,2328,-
329,2329,-
330,2330,UP
331,2331,UP
332,2332,UP
333,2333,UP
334,2334,UP
335,2335,-
336,2336,-
337,2337,-
338,2338,-
339,2339,-
340,2340,-
341,2341,-
342,2342,-
343,2343,-
344,2344,-
345,2345,-
346,2346,-
347,2347,-
348,2348,-
349,2349,-
350,2350,-
351,2351,-
352,2352,-
353,2353,-
354,2354,-
355,2355,-
356,2356,-
357,2357,-
358,2358,-
359,2359,-
360,2360,-
361,2361,-
362,2362,-
363,2363,-
364,2364,-
365,2365,-
366,2366,-
367,2367,-
368,2368,-
369,2369,-
370,2370,-
371,2371,UP
372,2372,-
373,2373,-
374,2374,-
375,2375,-
376,2376,-
377,2377,-
378,2378,-
379,2379,-
380,2380,-
381,2381,-
382,2382,-
383,2383,-
384,2384,-
385,2385,-
386,2386,-
387,2387,-
388,2388,-
389,2389,-
390,2390,-
391,2391,-
392,2392,-
393,2393,-
394,2394,-
395,2395,-
396,2396,-
397,2397,-
398,2398,-
399,2399,-
400,2400,-
401,2401,-
402,2402,-
403,2403,-
404,2404,-
405,2405,-
406,2406,-
407,2407,-
408,2408,-
409,2409,-
410,2410,-
411,2411,-
412,2412,-
413,2413,-
414,2414,-
415,2415,-
416,2416,-
417,2417,-
418,2418,-
419,2419,DOWN
420,2420,DOWN
421,2421,DOWN
422,2422,DOWN
423,2423,-
424,2424,DOWN
425,2425,-
426,2426,DOWN
427,2427,-
428,2428,DOWN
429,2429,DOWN
430,2430,-
431,2431,-
432,2432,-
433,2433,-
434,2434,-
435,2435,-
436,2436,-
437,2437,-
438,2438,-
439,2439,-
440,2440,-
441,2441,-
442,2442,-
443,2443,-
444,2444,UP
445,2445,-
446,2446,-
447,2447,-
448,2448,-
449,2449,UP
450,2450,-
451,2451,-
452,2452,-
453,2453,DOWN
454,2454,-
455,2455,-
456,2456,-
457,2457,-
458,2458,-
459,2459,-
460,2460,-
461,2461,DOWN
462,2462,DOWN
463,2463,DOWN
464,2464,-
465,2465,-
466,2466,-
467,2467,UP
468,2468,-
469,2469,UP
470,2470,UP
471,2471,-
472,2472,-
473,2473,-
474,2474,-
475,2475,-
476,2476,-
477,2477,-
478,2478,-
479,2479,-
480,2480,-
481,2481,-
482,2482,-
483,2483,-
484,2484,-
485,2485,-
486,2486,-
487,2487,-
488,2488,-
489,2489,-
490,2490,-
491,2491,-
492,2492,-
493,2493,-
494,2494,-
495,2495,-
496,2496,-
497,2497,-
498,2498,-
499,2499,-
500,2500,-
501,2501,-
502,2502,-
503,2503,-
504,2504,-
505,2505,-
506,2506,-
507,2507,-
508,2508,-
509,2509,-
510,2510,-
511,2511,-
512,2512,-
513,2513,-
514,2514,-
515,2515,-
516,2516,-
517,2517,-
518,2518,-
519,2519,-
520,2520,-
521,2521,-
522,2522,-
523,2523,-
524,2524,-
525,2525,-
526,2526,-
527,2527,-
528,2528,-
529,2529,-
530,2530,-
531,2531,-
532,2532,DOWN
533,2533,DOWN
534,2534,DOWN
535,2535,DOWN
536,2536,DOWN
537,2537,DOWN
538,2538,DOWN
539,2539,-
540,2540,-
541,2541,-
542,2542,-
543,2543,-
544,2544,-
545,2545,-
546,2546,-
547,2547,-
548,2548,-
549,2549,-
550,2550,-
551,2551,-
552,2552,-
553,2553,-
554,2554,-
555,2555,-
556,2556,-
557,2557,-
558,2558,-
559,2559,-
560,2560,-
561,2561,-
562,2562,-
563,2563,-
564,2564,-
565,2565,-
566,2566,-
567,2567,-
568,2568,-
569,2569,-
570,2570,-
571,2571,-
572,2572,-
573,2573,-
574,2574,-
575,2575,-
576,2576,-
577,2577,-
578,2578,-
579,2579,-
580,2580,-
581,2581,-
582,2582,-
583,2583,-
584,2584,-
585,2585,-
586,2586,-
587,2587,-
588,2588,-
589,2589,-
590,2590,-
591,2591,-
592,2592,-
593,2593,-
594,2594,-
595,2595,-
596,2596,-
597,2597,-
598,2598,-
599,2599,-
600,2600,-
601,2601,-
602,2602,-
603,2603,-
604,2604,-
605,2605,-
606,2606,-
607,2607,-
608,2608,-
609,2609,-
610,2610,-
611,2611,-
612,2612,-
613,2613,-
614,2614,-
615,2615,-
616,2616,-
617,2617,-
618,2618,-
619,2619,-
620,2620,-
621,2621,-
622,2622,-
623,2623,-
624,2624,-
625,2625,-
626,2626,-
627,2627,-
628,2628,-
629,2629,-
630,2630,-
631,2631,-
632,2632,-
633,2633,-
634,2634,-
635,2635,-
636,2636,-
637,2637,-
638,2638,-
639,2639,-
640,2640,-
641,2641,-
642,2642,-
643,2643,-
644,2644,-
645,2645,-
646,2646,-
647,2647,-
648,2648,-
649,2649,-
650,2650,-
651,2651,-
652,2652,-
653,2653,-
654,2654,-
655,2655,-
656,2656,-
657,2657,-
658,2658,-
659,2659,-
660,2660,-
661,2661,-
662,2662,-
663,2663,-
664,2664,-
665,2665,-
666,2666,-
667,2667,-
668,2668,-
669,2669,-
670,2670,UP
671,2671,UP
672,2672,UP
673,2673,-
674,2674,UP
675,2675,UP
676,2676,UP
677,2677,UP
678,2678,-
679,2679,-
680,2680,UP
681,2681,UP
682,2682,-
683,2683,-
684,2684,DOWN
685,2685,DOWN
686,2686,DOWN
687,2687,DOWN
688,2688,DOWN
689,2689,DOWN
690,2690,DOWN
691,2691,DOWN
692,2692,-
693,2693,-
694,2694,DOWN
695,2695,DOWN
696,2696,DOWN
697,2697,DOWN
698,2698,DOWN
699,2699,DOWN
700,2700,-
701,2701,DOWN
702,2702,DOWN
703,2703,UP
704,2704,UP
705,2705,UP
706,2706,UP
707,2707,UP
708,2708,UP
709,2709,UP
710,2710,DOWN
711,2711,-
712,2712,-
713,2713,-
714,2714,-
715,2715,-
716,2716,-
717,2717,UP
718,2718,-
719,2719,UP
720,2720,UP
721,2721,-
722,2722,UP
723,2723,-
724,2724,UP
725,2725,UP
726,2726,-
727,2727,-
728,2728,-
729,2729,-
730,2730,-
731,2731,-
732,2732,-
733,2733,-
734,2734,-
735,2735,-
736,2736,-
737,2737,-
738,2738,-
739,2739,-
740,2740,-
741,2741,-
742,2742,-
743,2743,-
744,2744,-
745,2745,DOWN
746,2746,DOWN
747,2747,-
748,2748,-
749,2749,-
750,2750,-
751,2751,DOWN
752,2752,-
753,2753,-
754,2754,-
755,2755,-
756,2756,-
757,2757,-
758,2758,-
759,2759,-
760,2760,-
761,2761,UP
762,2762,-
763,2763,-
764,2764,-
765,2765,-
766,2766,-
767,2767,-
768,2768,-
769,2769,DOWN
770,2770,DOWN
771,2771,DOWN
772,2772,DOWN
773,2773,-
774,2774,DOWN
775,2775,-
776,2776,-
777,2777,-
778,2778,UP
779,2779,-
780,2780,-
781,2781,DOWN
782,2782,-
783,2783,-
784,2784,-
785,2785,-
786,2786,UP
787,2787,UP
788,2788,UP
789,2789,-
790,2790,-
791,2791,-
792,2792,-
793,2793,DOWN
794,2794,DOWN
795,2795,DOWN
796,2796,DOWN
797,2797,DOWN
798,2798,DOWN
799,2799,DOWN
800,2800,DOWN
801,2801,DOWN
802,2802,DOWN
803,2803,DOWN
804,2804,DOWN
805,2805,DOWN
806,2806,DOWN
807,2807,DOWN
808,2808,-
809,2809,-
810,2810,-
811,2811,-
812,2812,-
813,2813,-
814,2814,-
815,2815,-
816,2816,-
817,2817,-
818,2818,-
819,2819,-
820,2820,-
821,2821,-
822,2822,-
823,2823,-
824,2824,-
825,2825,DOWN
826,2826,-
827,2827,-
828,2828,-
829,2829,UP
830,2830,-
831,2831,-
832,2832,-
833,2833,UP
834,2834,-
835,2835,-
836,2836,-
837,2837,-
838,2838,-
839,2839,UP
840,2840,-
841,2841,-
842,2842,-
843,2843,-
844,2844,-
845,2845,-
846,2846,-
847,2847,-
848,2848,-
849,2849,-
850,2850,-
851,2851,-
852,2852,-
853,2853,-
854,2854,-
855,2855,-
856,2856,-
857,2857,-
858,2858,-
859,2859,-
860,2860,-
861,2861,UP
862,2862,-
863,2863,-
864,2864,-
865,2865,-
866,2866,-
867,2867,-
868,2868,-
869,2869,UP
870,2870,-
871,2871,-
872,2872,UP
873,2873,-
874,2874,-
875,2875,-
876,2876,-
877,2877,-
878,2878,-
879,2879,-
880,2880,-
881,2881,-
882,2882,-
883,2883,-
884,2884,-
885,2885,-
886,2886,-
887,2887,-
888,2888,-
889,2889,-
890,2890,-
891,2891,-
892,2892,-
893,2893,-
894,2894,-
895,2895,-
896,2896,-
897,2897,-
898,2898,-
899,2899,-
900,2900,-
901,2901,-
902,2902,-
903,2903,-
904,2904,-
905,2905,-
906,2906,-
907,2907,-
908,2908,-
909,2909,-
910,2910,-
911,2911,-
912,2912,-
913,2913,-
914,2914,-
915,2915,-
916,2916,-
917,2917,-
918,2918,-
919,2919,-
920,2920,-
921,2921,-
922,2922,-
923,2923,-
924,2924,-
925,2925,-
926,2926,-
927,2927,-
928,2928,-
929,2929,-
930,2930,-
931,2931,-
932,2932,-
933,2933,-
934,2934,-
935,2935,-
936,2936,-
937,2937,-
938,2938,-
939,2939,-
940,2940,-
941,2941,-
942,2942,-
943,2943,-
944,2944,-
945,2945,-
946,2946,-
947,2947,-
948,2948,-
949,2949,-
950,2950,-
951,2951,-
952,2952,-
953,2953,-
954,2954,-
955,2955,-
956,2956,-
957,2957,-
958,2958,-
959,2959,-
960,2960,-
961,2961,-
962,2962,-
963,2963,-
964,2964,-
965,2965,-
966,2966,-
967,2967,-
968,2968,-
969,2969,-
970,2970,-
971,2971,-
972,2972,-
973,2973,-
974,2974,-
975,2975,-
976,2976,-
977,2977,-
978,2978,-
979,2979,-
980,2980,-
981,2981,-
982,2982,-
983,2983,-
984,2984,-
985,2985,-
986,2986,-
987,2987,-
988,2988,-
989,2989,-
990,2990,-
991,2991,-
992,2992,-
993,2993,-
994,2994,-
995,2995,-
996,2996,-
997,2997,-
998,2998,-
999,2999,-
1000,3000,-
1001,3001,-
1002,3002,-
1003,3003,-
1004,3004,-
1005,3005,-
1006,3006,-
1007,3007,-
1008,3008,-
1009,3009,-
1010,3010,-
1011,3011,-
1012,3012,-
1013,3013,-
1014,3014,-
1015,3015,-
1016,3016,-
1017,3017,-
1018,3018,-
1019,3019,-
1020,3020,-
1021,3021,-
1022,3022,-
1023,3023,-
1024,3024,-
1025,3025,-
1026,3026,-
1027,3027,-
1028,3028,-
1029,3029,-
1030,3030,-
1031,3031,-
1032,3032,-
1033,3033,-
1034,3034,-
1035,3035,-
1036,3036,-
1037,3037,-
1038,3038,-
1039,3039,-
1040,3040,-
1041,3041,-
1042,3042,-
1043,3043,-
1044,3044,-
1045,3045,-
1046,3046,-
1047,3047,-
1048,3048,-
1049,3049,-
1050,3050,-
1051,3051,-
1052,3052,-
1053,3053,-
1054,3054,-
1055,3055,-
1056,3056,-
1057,3057,-
1058,3058,-
1059,3059,-
1060,3060,-
1061,3061,-
1062,3062,-
1063,3063,-
1064,3064,-
1065,3065,-
1066,3066,-
1067,3067,-
1068,3068,-
1069,3069,-
1070,3070,-
1071,3071,-
1072,3072,-
1073,3073,-
1074,3074,-
1075,3075,-
1076,3076,-
1077,3077,-
1078,3078,-
1079,3079,-
1080,3080,-
1081,3081,-
1082,3082,-
1083,3083,-
1084,3084,-
1085,3085,-
1086,3086,UP
1087,3087,UP
1088,3088,UP
1089,3089,-
1090,3090,UP
1091,3091,-
1092,3092,-
1093,3093,UP
1094,3094,UP
1095,3095,-
1096,3096,UP
1097,3097,UP
1098,3098,UP
1099,3099,-
1100,3100,UP
1101,3101,UP
1102,3102,UP
1103,3103,UP
1104,3104,UP
1105,3105,UP
1106,3106,UP
1107,3107,UP
1108,3108,UP
1109,3109,-
1110,3110,UP
1111,3111,UP
1112,3112,UP
1113,3113,UP
1114,3114,UP
1115,3115,UP
1116,3116,UP
1117,3117,UP
1118,3118,UP
1119,3119,UP
1120,3120,UP
1121,3121,UP
1122,3122,UP
1123,3123,UP
1124,3124,UP
1125,3125,-
1126,3126,-
1127,3127,-
1128,3128,-
1129,3129,-
1130,3130,-
1131,3131,-
1132,3132,-
1133,3133,-
1134,3134,-
1135,3135,-
1136,3136,-
1137,3137,-
1138,3138,-
1139,3139,-
1140,3140,-
1141,3141,-
1142,3142,-
1143,3143,-
1144,3144,-
1145,3145,-
1146,3146,-
1147,3147,-
1148,3148,-
1149,3149,-
1150,3150,-
1151,3151,-
1152,3152,-
1153,3153,-
1154,3154,-
1155,3155,-
1156,3156,-
1157,3157,-
1158,3158,-
1159,3159,-
1160,3160,-
1161,3161,-
1162,3162,-
1163,3163,-
1164,3164,-
1165,3165,-
1166,3166,-
1167,3167,-
1168,3168,-
1169,3169,-
1170,3170,-
1171,3171,-
1172,3172,-
1173,3173,-
1174,3174,-
1175,3175,-
1176,3176,-
1177,3177,-
1178,3178,-
1179,3179,-
1180,3180,-
1181,3181,-
1182,3182,-
1183,3183,-
1184,3184,-
1185,3185,-
1186,3186,-
1187,3187,-
1188,3188,-
1189,3189,UP
1190,3190,UP
1191,3191,UP
1192,3192,UP
1193,3193,UP
1194,3194,UP
1195,3195,UP
1196,3196,-
1197,3197,-
1198,3198,UP
1199,3199,UP
1200,3200,UP
1201,3201,-
1202,3202,UP
1203,3203,UP
1204,3204,UP
1205,3205,-
1206,3206,DOWN
1207,3207,UP
1208,3208,-
1209,3209,-
1210,3210,-
1211,3211,-
1212,3212,-
1213,3213,-
1214,3214,-
1215,3215,-
1216,3216,-
1217,3217,-
1218,3218,-
1219,3219,-
1220,3220,-
1221,3221,-
1222,3222,-
1223,3223,-
1224,3224,-
1225,3225,-
1226,3226,-
1227,3227,-
1228,3228,-
1229,3229,-
1230,3230,-
1231,3231,-
1232,3232,-
1233,3233,-
1234,3234,-
1235,3235,-
1236,3236,-
1237,3237,-
1238,3238,-
1239,3239,-
1240,3240,-
1241,3241,-
1242,3242,-
1243,3243,-
1244,3244,-
1245,3245,-
1246,3246,-
1247,3247,-
1248,3248,-
1249,3249,-
1250,3250,-
1251,3251,UP
1252,3252,-
1253,3253,UP
1254,3254,UP
1255,3255,UP
1256,3256,UP
1257,3257,UP
1258,3258,UP
1259,3259,UP
1260,3260,UP
1261,3261,UP
1262,3262,UP
1263,3263,UP
1264,3264,UP
1265,3265,-
1266,3266,UP
1267,3267,UP
1268,3268,-
1269,3269,-
1270,3270,-
1271,3271,UP
1272,3272,-
1273,3273,UP
1274,3274,UP
1275,3275,UP
1276,3276,UP
1277,3277,UP
1278,3278,DOWN
1279,3279,-
1280,3280,UP
1281,3281,UP
1282,3282,-
1283,3283,-
1284,3284,-
1285,3285,-
1286,3286,-
1287,3287,UP
1288,3288,-
1289,3289,UP
1290,3290,UP
1291,3291,UP
1292,3292,UP
1293,3293,UP
1294,3294,UP
1295,3295,UP
1296,3296,UP
1297,3297,UP
1298,3298,UP
1299,3299,UP
1300,3300,UP
1301,3301,UP
1302,3302,UP
1303,3303,UP
1304,3304,UP
1305,3305,UP
1306,3306,UP
1307,3307,UP
1308,3308,UP
1309,3309,UP
1310,3310,UP
1311,3311,UP
1312,3312,UP
1313,3313,UP
1314,3314,UP
1315,3315,UP
1316,3316,UP
1317,3317,UP
1318,3318,UP
1319,3319,UP
1320,3320,UP
1321,3321,UP
1322,3322,UP
1323,3323,UP
1324,3324,-
1325,3325,-
1326,3326,UP
1327,3327,UP
1328,3328,UP
1329,3329,-
1330,3330,-
1331,3331,-
1332,3332,-
1333,3333,-
1334,3334,-
1335,3335,-
1336,3336,DOWN
1337,3337,UP
1338,3338,-
1339,3339,-
1340,3340,-
1341,3341,-
1342,3342,-
1343,3343,-
1344,3344,-
1345,3345,-
1346,3346,-
1347,3347,-
1348,3348,-
1349,3349,-
1350,3350,-
1351,3351,-
1352,3352,-
1353,3353,-
1354,3354,-
1355,3355,-
1356,3356,-
1357,3357,-
1358,3358,-
1359,3359,-
1360,3360,UP
1361,3361,-
1362,3362,-
1363,3363,-
1364,3364,-
1365,3365,-
1366,3366,-
1367,3367,-
1368,3368,-
1369,3369,-
1370,3370,-
1371,3371,-
1372,3372,-
1373,3373,-
1374,3374,-
1375,3375,-
1376,3376,-
1377,3377,-
1378,3378,-
1379,3379,-
1380,3380,-
1381,3381,-
1382,3382,-
1383,3383,-
1384,3384,-
1385,3385,-
1386,3386,-
1387,3387,-
1388,3388,-
1389,3389,DOWN
1390,3390,UP
1391,3391,UP
1392,3392,UP
1393,3393,UP
1394,3394,UP
1395,3395,-
1396,3396,UP
1397,3397,-
1398,3398,UP
1399,3399,-
1400,3400,UP
1401,3401,-
1402,3402,DOWN
1403,3403,-
1404,3404,UP
1405,3405,UP
1406,3406,-
1407,3407,-
1408,3408,UP
1409,3409,-
1410,3410,-
1411,3411,UP
1412,3412,-
1413,3413,-
1414,3414,-
1415,3415,-
1416,3416,-
1417,3417,UP
1418,3418,UP
1419,3419,-
1420,3420,-
1421,3421,DOWN
1422,3422,DOWN
1423,3423,-
1424,3424,-
1425,3425,-
1426,3426,-
1427,3427,-
1428,3428,UP
1429,3429,UP
1430,3430,-
1431,3431,-
1432,3432,-
1433,3433,UP
1434,3434,-
1435,3435,-
1436,3436,UP
1437,3437,UP
1438,3438,UP
1439,3439,UP
1440,3440,-
1441,3441,-
1442,3442,-
1443,3443,-
1444,3444,-
1445,3445,-
1446,3446,-
1447,3447,-
1448,3448,-
1449,3449,-
1450,3450,-
1451,3451,DOWN
1452,3452,-
1453,3453,DOWN
1454,3454,DOWN
1455,3455,-
1456,3456,DOWN
1457,3457,-
1458,3458,-
1459,3459,DOWN
1460,3460,-
1461,3461,-
1462,3462,UP
1463,3463,UP
1464,3464,UP
1465,3465,UP
1466,3466,UP
1467,3467,-
1468,3468,UP
1469,3469,-
1470,3470,-
1471,3471,UP
1472,3472,-
1473,3473,-
1474,3474,-
1475,3475,DOWN
1476,3476,DOWN
1477,3477,-
1478,3478,DOWN
1479,3479,-
1480,3480,-
1481,3481,-
1482,3482,-
1483,3483,DOWN
1484,3484,-
1485,3485,-
1486,3486,-
1487,3487,-
1488,3488,DOWN
1489,3489,DOWN
1490,3490,DOWN
1491,3491,DOWN
1492,3492,-
1493,3493,-
1494,3494,-
1495,3495,-
1496,3496,DOWN
1497,3497,-
1498,3498,-
1499,3499,-
1500,3500,UP
1501,3501,UP
1502,3502,UP
1503,3503,UP
1504,3504,UP
1505,3505,UP
1506,3506,UP
1507,3507,UP
1508,3508,UP
1509,3509,UP
1510,3510,UP
1511,3511,UP
1512,3512,UP
1513,3513,UP
1514,3514,UP
1515,3515,UP
1516,3516,UP
1517,3517,UP
1518,3518,UP
1519,3519,UP
1520,3520,UP
1521,3521,UP
1522,3522,DOWN
1523,3523,DOWN
1524,3524,-
1525,3525,-
1526,3526,-
1527,3527,UP
1528,3528,DOWN
1529,3529,UP
1530,3530,UP
1531,3531,UP
1532,3532,-
1533,3533,UP
1534,3534,UP
1535,3535,UP
1536,3536,UP
1537,3537,UP
1538,3538,UP
1539,3539,DOWN
1540,3540,-
1541,3541,DOWN
1542,3542,DOWN
1543,3543,UP
1544,3544,UP
1545,3545,-
1546,3546,DOWN
1547,3547,-
1548,3548,DOWN
1549,3549,-
1550,3550,DOWN
1551,3551,DOWN
1552,3552,-
1553,3553,-
1554,3554,-
1555,3555,-
1556,3556,-
1557,3557,UP
1558,3558,UP
1559,3559,-
1560,3560,UP
1561,3561,UP
1562,3562,UP
1563,3563,UP
1564,3564,UP
1565,3565,UP
1566,3566,-
1567,3567,UP
1568,3568,UP
1569,3569,UP
1570,3570,UP
