,day_index,trend_predict
0,2000,DOWN
1,2001,UP
2,2002,DOWN
3,2003,DOWN
4,2004,DOWN
5,2005,UP
6,2006,-
7,2007,DOWN
8,2008,DOWN
9,2009,-
10,2010,-
11,2011,-
12,2012,-
13,2013,-
14,2014,-
15,2015,DOWN
16,2016,DOWN
17,2017,DOWN
18,2018,DOWN
19,2019,-
20,2020,-
21,2021,-
22,2022,UP
23,2023,-
24,2024,-
25,2025,-
26,2026,-
27,2027,-
28,2028,-
29,2029,UP
30,2030,UP
31,2031,UP
32,2032,-
33,2033,UP
34,2034,-
35,2035,UP
36,2036,UP
37,2037,UP
38,2038,-
39,2039,UP
40,2040,UP
41,2041,UP
42,2042,UP
43,2043,UP
44,2044,UP
45,2045,-
46,2046,-
47,2047,-
48,2048,-
49,2049,-
50,2050,-
51,2051,-
52,2052,-
53,2053,-
54,2054,-
55,2055,-
56,2056,-
57,2057,-
58,2058,-
59,2059,-
60,2060,-
61,2061,-
62,2062,-
63,2063,-
64,2064,-
65,2065,-
66,2066,-
67,2067,-
68,2068,-
69,2069,-
70,2070,-
71,2071,-
72,2072,-
73,2073,-
74,2074,-
75,2075,-
76,2076,-
77,2077,-
78,2078,-
79,2079,-
80,2080,-
81,2081,-
82,2082,UP
83,2083,-
84,2084,UP
85,2085,-
86,2086,-
87,2087,-
88,2088,-
89,2089,DOWN
90,2090,DOWN
91,2091,-
92,2092,DOWN
93,2093,-
94,2094,-
95,2095,-
96,2096,-
97,2097,-
98,2098,DOWN
99,2099,-
100,2100,UP
101,2101,UP
102,2102,DOWN
103,2103,DOWN
104,2104,DOWN
105,2105,-
106,2106,UP
107,2107,-
108,2108,-
109,2109,-
110,2110,UP
111,2111,UP
112,2112,UP
113,2113,-
114,2114,-
115,2115,DOWN
116,2116,UP
117,2117,-
118,2118,UP
119,2119,UP
120,2120,-
121,2121,DOWN
122,2122,-
123,2123,UP
124,2124,-
125,2125,-
126,2126,-
127,2127,-
128,2128,DOWN
129,2129,-
130,2130,DOWN
131,2131,-
132,2132,-
133,2133,DOWN
134,2134,-
135,2135,-
136,2136,DOWN
137,2137,-
138,2138,-
139,2139,-
140,2140,-
141,2141,-
142,2142,-
143,2143,-
144,2144,DOWN
145,2145,-
146,2146,-
147,2147,-
148,2148,-
149,2149,-
150,2150,DOWN
151,2151,-
152,2152,-
153,2153,-
154,2154,-
155,2155,-
156,2156,-
157,2157,-
158,2158,-
159,2159,DOWN
160,2160,DOWN
161,2161,-
162,2162,-
163,2163,-
164,2164,-
165,2165,-
166,2166,-
167,2167,-
168,2168,-
169,2169,-
170,2170,-
171,2171,-
172,2172,-
173,2173,DOWN
174,2174,-
175,2175,-
176,2176,-
177,2177,-
178,2178,-
179,2179,-
180,2180,DOWN
181,2181,DOWN
182,2182,-
183,2183,DOWN
184,2184,DOWN
185,2185,UP
186,2186,-
187,2187,-
188,2188,-
189,2189,-
190,2190,-
191,2191,-
192,2192,-
193,2193,UP
194,2194,DOWN
195,2195,UP
196,2196,-
197,2197,UP
198,2198,DOWN
199,2199,DOWN
200,2200,DOWN
201,2201,UP
202,2202,DOWN
203,2203,DOWN
204,2204,-
205,2205,UP
206,2206,DOWN
207,2207,-
208,2208,-
209,2209,-
210,2210,-
211,2211,-
212,2212,-
