,day_index,trend_predict
0,3571,-
1,3572,-
2,3573,DOWN
3,3574,-
4,3575,DOWN
5,3576,DOWN
6,3577,DOWN
7,3578,DOWN
8,3579,DOWN
9,3580,-
10,3581,-
11,3582,-
12,3583,-
13,3584,DOWN
14,3585,-
15,3586,-
16,3587,-
17,3588,-
18,3589,UP
19,3590,UP
20,3591,UP
21,3592,-
22,3593,-
23,3594,DOWN
24,3595,-
25,3596,-
26,3597,UP
27,3598,-
28,3599,-
29,3600,-
30,3601,-
31,3602,DOWN
32,3603,-
33,3604,-
34,3605,-
35,3606,DOWN
36,3607,-
37,3608,UP
38,3609,-
39,3610,-
40,3611,-
41,3612,-
42,3613,-
43,3614,-
44,3615,-
45,3616,-
46,3617,UP
47,3618,-
48,3619,-
49,3620,DOWN
50,3621,-
51,3622,-
52,3623,DOWN
53,3624,-
54,3625,-
55,3626,-
56,3627,-
57,3628,-
58,3629,-
59,3630,-
60,3631,-
61,3632,-
62,3633,-
63,3634,-
64,3635,-
65,3636,-
66,3637,-
67,3638,-
68,3639,UP
69,3640,-
70,3641,-
71,3642,-
72,3643,-
73,3644,-
74,3645,-
75,3646,-
76,3647,-
77,3648,-
78,3649,-
79,3650,-
80,3651,-
81,3652,-
82,3653,DOWN
83,3654,DOWN
84,3655,-
85,3656,UP
86,3657,-
87,3658,-
88,3659,UP
89,3660,-
90,3661,-
91,3662,-
92,3663,-
93,3664,-
94,3665,-
95,3666,-
96,3667,-
97,3668,-
98,3669,-
99,3670,-
100,3671,-
101,3672,-
102,3673,-
103,3674,-
104,3675,DOWN
105,3676,DOWN
106,3677,-
107,3678,-
108,3679,-
109,3680,-
110,3681,-
111,3682,DOWN
112,3683,-
113,3684,-
114,3685,DOWN
115,3686,DOWN
116,3687,DOWN
117,3688,-
118,3689,DOWN
119,3690,DOWN
120,3691,-
121,3692,-
122,3693,DOWN
123,3694,-
124,3695,DOWN
125,3696,-
126,3697,DOWN
127,3698,DOWN
128,3699,DOWN
129,3700,-
130,3701,-
131,3702,-
132,3703,UP
133,3704,-
134,3705,UP
135,3706,UP
136,3707,UP
137,3708,UP
138,3709,-
139,3710,-
140,3711,UP
141,3712,UP
142,3713,UP
143,3714,UP
144,3715,UP
145,3716,UP
146,3717,UP
147,3718,-
148,3719,UP
149,3720,UP
150,3721,UP
151,3722,UP
152,3723,-
153,3724,-
154,3725,-
155,3726,UP
156,3727,DOWN
157,3728,-
158,3729,-
159,3730,-
160,3731,-
161,3732,-
162,3733,UP
163,3734,-
164,3735,-
165,3736,-
166,3737,DOWN
167,3738,UP
168,3739,-
169,3740,-
170,3741,UP
171,3742,DOWN
172,3743,UP
173,3744,-
174,3745,-
175,3746,-
176,3747,DOWN
177,3748,-
178,3749,-
179,3750,-
180,3751,-
181,3752,-
182,3753,-
183,3754,-
184,3755,-
185,3756,UP
186,3757,-
187,3758,-
188,3759,-
189,3760,UP
190,3761,-
191,3762,-
192,3763,UP
193,3764,UP
194,3765,UP
195,3766,UP
196,3767,UP
197,3768,UP
198,3769,UP
199,3770,UP
200,3771,UP
