,day_index,date,open_close,L/S,profit,trend_predicted,combo_price
0,-1,-,-,-,0.0,-,0.0
1,3500,2019-10-21 00:00:00,O,L,0.0,UP,34.70413557493015
2,3538,2019-12-13 00:00:00,C,L,11.716055137842773,DOWN,46.42019071277292
3,3538,2019-12-13 00:00:00,O,S,0.0,DOWN,46.42019071277292
4,3539,2019-12-16 00:00:00,C,S,-0.5234571777349686,UP,46.94364789050789
5,3539,2019-12-16 00:00:00,O,L,0.0,UP,46.94364789050789
6,3540,2019-12-17 00:00:00,C,L,-0.48238690739657386,DOWN,46.461260983111316
7,3540,2019-12-17 00:00:00,O,S,0.0,DOWN,46.461260983111316
8,3555,2020-01-09 00:00:00,C,S,-1.3675993156391826,UP,47.8288602987505
9,3555,2020-01-09 00:00:00,O,L,0.0,UP,47.8288602987505
10,3556,2020-01-10 00:00:00,C,L,0.2953684919681905,DOWN,48.12422879071869
11,3556,2020-01-10 00:00:00,O,S,0.0,DOWN,48.12422879071869
12,3561,2020-01-17 00:00:00,C,S,4.14508451221721,UP,43.97914427850148
13,3561,2020-01-17 00:00:00,O,L,0.0,UP,43.97914427850148
14,3565,2020-01-24 00:00:00,C,L,3.418619145069158,DOWN,47.39776342357064
15,3565,2020-01-24 00:00:00,O,S,0.0,DOWN,47.39776342357064
16,3572,2020-02-04 00:00:00,C,S,-16.87377472787864,UP,64.27153815144928
17,3572,2020-02-04 00:00:00,O,L,0.0,UP,64.27153815144928
18,3576,2020-02-10 00:00:00,C,L,-7.477590370306785,DOWN,56.79394778114249
19,3576,2020-02-10 00:00:00,O,S,0.0,DOWN,56.79394778114249
20,3577,2020-02-11 00:00:00,C,S,1.6128644044370049,UP,55.18108337670549
21,3577,2020-02-11 00:00:00,O,L,0.0,UP,55.18108337670549
22,3578,2020-02-12 00:00:00,C,L,0.3499708871879079,DOWN,55.531054263893395
23,3578,2020-02-12 00:00:00,O,S,0.0,DOWN,55.531054263893395
24,3587,2020-02-26 00:00:00,C,S,7.320780753418262,UP,48.21027351047513
25,3587,2020-02-26 00:00:00,O,L,0.0,UP,48.21027351047513
26,3588,2020-02-27 00:00:00,C,L,-6.455328413484267,DOWN,41.754945096990866
27,3588,2020-02-27 00:00:00,O,S,0.0,DOWN,41.754945096990866
28,3592,2020-03-04 00:00:00,C,S,1.8118793519717258,UP,39.94306574501914
29,3592,2020-03-04 00:00:00,O,L,0.0,UP,39.94306574501914
30,3598,2020-03-12 00:00:00,C,L,6.916592685070597,DOWN,46.85965843008974
31,3598,2020-03-12 00:00:00,O,S,0.0,DOWN,46.85965843008974
32,3599,2020-03-13 00:00:00,C,S,5.161834004395885,UP,41.69782442569385
33,3599,2020-03-13 00:00:00,O,L,0.0,UP,41.69782442569385
34,3601,2020-03-17 00:00:00,C,L,3.08560453549471,DOWN,44.78342896118856
35,3601,2020-03-17 00:00:00,O,S,0.0,DOWN,44.78342896118856
36,3602,2020-03-18 00:00:00,C,S,4.746712974983453,UP,40.03671598620511
37,3602,2020-03-18 00:00:00,O,L,0.0,UP,40.03671598620511
38,3603,2020-03-19 00:00:00,C,L,-10.439521619509122,DOWN,29.597194366695987
39,3603,2020-03-19 00:00:00,O,S,0.0,DOWN,29.597194366695987
40,3604,2020-03-20 00:00:00,C,S,-1.175944626372896,UP,30.773138993068883
41,3604,2020-03-20 00:00:00,O,L,0.0,UP,30.773138993068883
42,3609,2020-03-27 00:00:00,C,L,0.81901714404664,DOWN,31.592156137115524
43,3609,2020-03-27 00:00:00,O,S,0.0,DOWN,31.592156137115524
44,3612,2020-04-01 00:00:00,C,S,7.074982310172857,UP,24.517173826942667
45,3612,2020-04-01 00:00:00,O,L,0.0,UP,24.517173826942667
46,3614,2020-04-03 00:00:00,C,L,-1.8728760860960563,DOWN,22.64429774084661
47,3614,2020-04-03 00:00:00,O,S,0.0,DOWN,22.64429774084661
48,3617,2020-04-08 00:00:00,C,S,-25.572837172233648,UP,48.21713491308026
49,3617,2020-04-08 00:00:00,O,L,0.0,UP,48.21713491308026
50,3618,2020-04-09 00:00:00,C,L,2.569897390170354,DOWN,50.78703230325061
51,3618,2020-04-09 00:00:00,O,S,0.0,DOWN,50.78703230325061
52,3623,2020-04-17 00:00:00,C,S,5.599372780458538,UP,45.187659522792075
53,3623,2020-04-17 00:00:00,O,L,0.0,UP,45.187659522792075
54,3626,2020-04-22 00:00:00,C,L,-7.472737167342643,DOWN,37.71492235544943
55,3626,2020-04-22 00:00:00,O,S,0.0,DOWN,37.71492235544943
56,3627,2020-04-23 00:00:00,C,S,7.663639724213027,UP,30.051282631236404
57,3627,2020-04-23 00:00:00,O,L,0.0,UP,30.051282631236404
58,3637,2020-05-07 00:00:00,C,L,8.481418450603144,DOWN,38.53270108183955
59,3637,2020-05-07 00:00:00,O,S,0.0,DOWN,38.53270108183955
60,3638,2020-05-08 00:00:00,C,S,-3.463390929406046,UP,41.996092011245594
61,3638,2020-05-08 00:00:00,O,L,0.0,UP,41.996092011245594
62,3639,2020-05-11 00:00:00,C,L,1.6768647107541028,DOWN,43.6729567219997
63,3639,2020-05-11 00:00:00,O,S,0.0,DOWN,43.6729567219997
64,3645,2020-05-19 00:00:00,C,S,-4.847221978280373,UP,48.52017870028007
65,3645,2020-05-19 00:00:00,O,L,0.0,UP,48.52017870028007
66,3646,2020-05-20 00:00:00,C,L,-1.1645466714709585,DOWN,47.35563202880911
67,3646,2020-05-20 00:00:00,O,S,0.0,DOWN,47.35563202880911
68,3652,2020-05-29 00:00:00,C,S,5.990058368356387,UP,41.365573660452725
69,3652,2020-05-29 00:00:00,O,L,0.0,UP,41.365573660452725
70,3653,2020-06-01 00:00:00,C,L,-1.0463593704450318,DOWN,40.31921429000769
71,3653,2020-06-01 00:00:00,O,S,0.0,DOWN,40.31921429000769
72,3655,2020-06-03 00:00:00,C,S,-1.9853592684398222,UP,42.304573558447515
73,3655,2020-06-03 00:00:00,O,L,0.0,UP,42.304573558447515
74,3660,2020-06-10 00:00:00,C,L,-4.802121214692107,DOWN,37.50245234375541
75,3660,2020-06-10 00:00:00,O,S,0.0,DOWN,37.50245234375541
76,3661,2020-06-11 00:00:00,C,S,4.590410940034957,UP,32.91204140372045
77,3661,2020-06-11 00:00:00,O,L,0.0,UP,32.91204140372045
78,3669,2020-06-23 00:00:00,C,L,5.272849738899595,DOWN,38.184891142620046
79,3669,2020-06-23 00:00:00,O,S,0.0,DOWN,38.184891142620046
80,3688,2020-07-21 00:00:00,C,S,-14.959827127847973,UP,53.14471827046802
81,3688,2020-07-21 00:00:00,O,L,0.0,UP,53.14471827046802
82,3690,2020-07-23 00:00:00,C,L,-0.2059647150224464,DOWN,52.93875355544557
83,3690,2020-07-23 00:00:00,O,S,0.0,DOWN,52.93875355544557
84,3700,2020-08-06 00:00:00,C,S,14.670452413167652,UP,38.26830114227792
85,3700,2020-08-06 00:00:00,O,L,0.0,UP,38.26830114227792
86,3728,2020-09-16 00:00:00,C,L,0.7675240633749922,DOWN,39.03582520565291
87,3728,2020-09-16 00:00:00,O,S,0.0,DOWN,39.03582520565291
88,3729,2020-09-17 00:00:00,C,S,-0.348356097919293,UP,39.384181303572205
89,3729,2020-09-17 00:00:00,O,L,0.0,UP,39.384181303572205
90,3738,2020-09-30 00:00:00,C,L,3.6371040352930777,DOWN,43.02128533886528
91,3738,2020-09-30 00:00:00,O,S,0.0,DOWN,43.02128533886528
92,3741,2020-10-05 00:00:00,C,S,1.596597949901792,UP,41.42468738896349
93,3741,2020-10-05 00:00:00,O,L,0.0,UP,41.42468738896349
94,3743,2020-10-07 00:00:00,C,L,2.5708664567516735,DOWN,43.995553845715165
95,3743,2020-10-07 00:00:00,O,S,0.0,DOWN,43.995553845715165
96,3744,2020-10-08 00:00:00,C,S,1.0277179354812063,UP,42.96783591023396
97,3744,2020-10-08 00:00:00,O,L,0.0,UP,42.96783591023396
98,3745,2020-10-09 00:00:00,C,L,0.4528581039334938,DOWN,43.42069401416745
99,3745,2020-10-09 00:00:00,O,S,0.0,DOWN,43.42069401416745
100,3747,2020-10-13 00:00:00,C,S,0.9780227531035735,UP,42.44267126106388
101,3747,2020-10-13 00:00:00,O,L,0.0,UP,42.44267126106388
102,3748,2020-10-14 00:00:00,C,L,0.5434362225549876,DOWN,42.986107483618866
103,3748,2020-10-14 00:00:00,O,S,0.0,DOWN,42.986107483618866
104,3753,2020-10-21 00:00:00,C,S,-1.5463206647550862,UP,44.53242814837395
105,3753,2020-10-21 00:00:00,O,L,0.0,UP,44.53242814837395
106,3754,2020-10-22 00:00:00,C,L,0.37229089775405555,DOWN,44.90471904612801
107,3754,2020-10-22 00:00:00,O,S,0.0,DOWN,44.90471904612801
108,3755,2020-10-23 00:00:00,C,S,-0.8694435319965521,UP,45.77416257812456
109,3755,2020-10-23 00:00:00,O,L,0.0,UP,45.77416257812456
110,3757,2020-10-27 00:00:00,C,L,-7.006548129962454,DOWN,38.76761444816211
111,3757,2020-10-27 00:00:00,O,S,0.0,DOWN,38.76761444816211
112,3758,2020-10-28 00:00:00,C,S,0.2493662060756492,UP,38.51824824208646
113,3758,2020-10-28 00:00:00,O,L,0.0,UP,38.51824824208646
114,3770,2020-11-13 00:00:00,C,L,3.6530459300140876,DOWN,42.171294172100545
115,3770,2020-11-13 00:00:00,O,S,0.0,DOWN,42.171294172100545
