,day_index,open_close,L/S,profit,trend_predicted
0,-1,-,-,0.0,-
1,2000,O,S,0.0,DOWN
2,2001,C,S,1.960798447741297,UP
3,2001,O,L,0.0,UP
4,2002,C,L,0.09884426236878596,DOWN
5,2002,O,S,0.0,DOWN
6,2005,C,S,-0.5128753121861394,UP
7,2005,O,L,0.0,UP
8,2007,C,L,0.42563732105164576,DOWN
9,2007,O,S,0.0,DOWN
10,2022,C,S,4.362529599284947,UP
11,2022,O,L,0.0,UP
12,2089,C,L,-2.513406870291803,DOWN
13,2089,O,S,0.0,DOWN
14,2100,C,S,-6.939798097150636,UP
15,2100,O,L,0.0,UP
16,2102,C,L,-0.979293042512893,DOWN
17,2102,O,S,0.0,DOWN
18,2106,C,S,0.40452133135539725,UP
19,2106,O,L,0.0,UP
20,2115,C,L,-3.4861975431785623,DOWN
21,2115,O,S,0.0,DOWN
22,2116,C,S,-0.0017776355089793583,UP
23,2116,O,L,0.0,UP
24,2121,C,L,-4.509718753789059,DOWN
25,2121,O,S,0.0,DOWN
26,2123,C,S,-1.1879490884706243,UP
27,2123,O,L,0.0,UP
28,2128,C,L,5.126644552553984,DOWN
29,2128,O,S,0.0,DOWN
30,2185,C,S,2.7168841451686347,UP
31,2185,O,L,0.0,UP
32,2194,C,L,2.5493010400643925,DOWN
33,2194,O,S,0.0,DOWN
34,2195,C,S,0.22253113371748157,UP
35,2195,O,L,0.0,UP
36,2198,C,L,0.9808355867037903,DOWN
37,2198,O,S,0.0,DOWN
38,2201,C,S,0.23092805993533716,UP
39,2201,O,L,0.0,UP
40,2202,C,L,0.2358600692354358,DOWN
41,2202,O,S,0.0,DOWN
42,2205,C,S,-0.33817850099315905,UP
43,2205,O,L,0.0,UP
44,2206,C,L,0.21343447019080486,DOWN
45,2206,O,S,0.0,DOWN
46,2230,C,S,3.93681195069216,UP
47,2230,O,L,0.0,UP
48,2232,C,L,-0.9215239748725992,DOWN
49,2232,O,S,0.0,DOWN
50,2243,C,S,0.3884186768492839,UP
51,2243,O,L,0.0,UP
52,2419,C,L,7.717196468026948,DOWN
53,2419,O,S,0.0,DOWN
54,2444,C,S,5.597587247514127,UP
55,2444,O,L,0.0,UP
56,2453,C,L,-2.7870077430217464,DOWN
57,2453,O,S,0.0,DOWN
58,2467,C,S,5.308998620317965,UP
59,2467,O,L,0.0,UP
60,2532,C,L,5.654894089576175,DOWN
61,2532,O,S,0.0,DOWN
62,2670,C,S,-0.2239566714539194,UP
63,2670,O,L,0.0,UP
64,2684,C,L,-2.1713273912878464,DOWN
65,2684,O,S,0.0,DOWN
66,2703,C,S,6.471255819413386,UP
67,2703,O,L,0.0,UP
68,2710,C,L,1.260796905276706,DOWN
69,2710,O,S,0.0,DOWN
70,2717,C,S,2.4971937039538545,UP
71,2717,O,L,0.0,UP
72,2745,C,L,11.240567031274963,DOWN
73,2745,O,S,0.0,DOWN
74,2761,C,S,12.189132358193447,UP
75,2761,O,L,0.0,UP
76,2769,C,L,6.917052042919295,DOWN
77,2769,O,S,0.0,DOWN
78,2778,C,S,6.538200879201781,UP
79,2778,O,L,0.0,UP
80,2781,C,L,-3.5747106989909554,DOWN
81,2781,O,S,0.0,DOWN
82,2786,C,S,-1.7649080003336195,UP
83,2786,O,L,0.0,UP
84,2793,C,L,2.489227923874921,DOWN
85,2793,O,S,0.0,DOWN
86,2829,C,S,-3.0230027068354843,UP
87,2829,O,L,0.0,UP
88,3206,C,L,-5.9194819260892615,DOWN
89,3206,O,S,0.0,DOWN
90,3207,C,S,-1.996872408381563,UP
91,3207,O,L,0.0,UP
92,3278,C,L,-2.893273317201931,DOWN
93,3278,O,S,0.0,DOWN
94,3280,C,S,-2.118525663055081,UP
95,3280,O,L,0.0,UP
96,3336,C,L,17.83867843812807,DOWN
97,3336,O,S,0.0,DOWN
98,3337,C,S,0.07838446717752845,UP
99,3337,O,L,0.0,UP
100,3389,C,L,-3.3189795013686307,DOWN
101,3389,O,S,0.0,DOWN
102,3390,C,S,-1.2947146963855687,UP
103,3390,O,L,0.0,UP
104,3402,C,L,-0.6372334596081544,DOWN
105,3402,O,S,0.0,DOWN
106,3404,C,S,-0.7405164314592696,UP
107,3404,O,L,0.0,UP
108,3421,C,L,7.104920798546971,DOWN
109,3421,O,S,0.0,DOWN
110,3428,C,S,3.094973973646262,UP
111,3428,O,L,0.0,UP
112,3451,C,L,-3.123120838859961,DOWN
113,3451,O,S,0.0,DOWN
114,3462,C,S,5.767642586699566,UP
115,3462,O,L,0.0,UP
116,3475,C,L,5.250065862880689,DOWN
117,3475,O,S,0.0,DOWN
118,3500,C,S,6.631564181870573,UP
119,3500,O,L,0.0,UP
120,3522,C,L,-1.7827998439137787,DOWN
121,3522,O,S,0.0,DOWN
122,3527,C,S,-7.831005165001301,UP
123,3527,O,L,0.0,UP
124,3528,C,L,-1.121899136547313,DOWN
125,3528,O,S,0.0,DOWN
126,3529,C,S,-0.220384868059341,UP
127,3529,O,L,0.0,UP
128,3539,C,L,7.092821262978191,DOWN
129,3539,O,S,0.0,DOWN
130,3543,C,S,-3.160282610829114,UP
131,3543,O,L,0.0,UP
132,3546,C,L,-3.3067610745373486,DOWN
133,3546,O,S,0.0,DOWN
134,3557,C,S,-0.047120803312424187,UP
135,3557,O,L,0.0,UP
