index,trend,seed
2846,UP,123
2847,UP,123
2848,UP,123
2849,UP,789
2850,UP,123
2851,UP,123
2852,UP,123
2853,UP,123
2854,UP,123
2855,UP,123
2856,UP,123
2857,UP,123
2858,UP,123
2859,UP,123
2860,UP,123
2861,UP,123
2862,UP,123
2863,UP,123
2864,UP,123
2865,UP,123
2866,UP,123
2867,UP,123
2868,UP,123
2869,UP,123
2870,UP,123
2871,UP,123
2872,UP,123
2873,UP,123
2874,UP,123
2875,UP,123
2876,UP,123
2877,UP,123
2878,UP,123
2879,UP,123
2880,UP,123
2881,DOWN,123
2882,DOWN,123
2883,DOWN,123
2884,DOWN,123
2885,DOWN,123
2886,DOWN,123
2887,DOWN,123
2888,DOWN,789
2889,DOWN,123
2890,DOWN,123
2891,DOWN,123
2892,DOWN,123
2893,DOWN,123
2895,DOWN,123
2896,DOWN,329
2897,DOWN,456
2898,DOWN,789
2900,DOWN,789
2902,DOWN,329
2908,UP,456
2909,UP,123
2910,DOWN,456
2911,UP,123
2912,UP,123
2913,UP,123
2915,UP,329
2917,UP,789
2920,UP,329
2921,UP,789
2922,UP,789
2923,UP,123
2924,UP,123
2925,UP,123
2928,UP,789
2929,UP,789
2930,UP,789
2944,DOWN,123
2945,DOWN,123
2946,DOWN,456
2949,DOWN,123
2950,DOWN,123
2951,DOWN,123
2954,DOWN,123
2955,DOWN,123
2958,DOWN,123
2959,DOWN,456
2962,UP,789
2963,DOWN,123
2967,UP,123
2968,DOWN,789
2969,UP,123
2970,DOWN,329
2971,DOWN,123
2972,DOWN,123
2973,DOWN,123
2974,UP,789
2975,DOWN,123
2976,DOWN,123
2978,DOWN,789
2979,UP,123
2980,DOWN,123
2981,DOWN,123
2984,DOWN,123
2985,UP,329
2988,DOWN,789
2990,UP,329
2991,UP,789
2992,UP,123
2993,DOWN,123
2994,DOWN,123
2995,DOWN,123
2996,DOWN,123
2997,DOWN,123
2998,DOWN,123
2999,DOWN,123
3000,DOWN,123
3001,DOWN,123
3002,DOWN,123
3003,DOWN,123
3004,DOWN,123
3005,DOWN,123
3006,DOWN,123
3007,UP,789
3017,DOWN,456
3024,DOWN,789
3025,DOWN,123
3026,DOWN,123
3027,DOWN,329
3031,UP,123
3032,UP,329
3033,UP,123
3034,UP,789
3035,UP,329
3036,UP,789
3039,UP,456
3040,UP,329
3041,UP,456
3042,UP,789
3043,UP,789
3044,UP,123
3045,UP,123
3046,UP,123
3047,UP,123
3048,UP,123
3049,UP,123
3050,UP,789
3051,UP,123
3052,UP,123
3053,UP,123
3054,UP,123
3055,UP,123
3056,UP,789
3057,UP,123
3058,UP,123
3059,UP,123
3060,UP,123
3061,UP,123
3062,UP,123
3063,UP,123
3064,UP,123
3065,UP,123
3066,UP,456
3067,UP,456
3068,UP,123
3072,UP,123
3073,DOWN,123
3075,UP,789
3080,UP,123
3185,UP,789
3388,UP,123
3389,UP,123
3390,UP,123
3391,UP,789
3392,UP,123
3393,UP,123
