,day_index,lastdateIncludedInModel,trend_predict,seed
0,1260,2019-09-27,DOWN,123
1,1261,2019-09-30,DOWN,789
2,1262,2019-10-01,DOWN,123
3,1263,2019-10-02,UP,123
4,1264,2019-10-03,UP,123
5,1265,2019-10-04,UP,789
6,1266,2019-10-07,-,329
7,1267,2019-10-08,DOWN,123
8,1268,2019-10-09,-,329
9,1269,2019-10-10,-,329
10,1270,2019-10-11,UP,456
11,1271,2019-10-14,-,329
12,1272,2019-10-15,UP,123
13,1273,2019-10-16,UP,123
14,1274,2019-10-17,UP,789
15,1275,2019-10-18,DOWN,123
16,1276,2019-10-21,DOWN,123
17,1277,2019-10-22,DOWN,123
18,1278,2019-10-23,DOWN,123
19,1279,2019-10-24,DOWN,329
20,1280,2019-10-25,DOWN,123
21,1281,2019-10-28,DOWN,789
22,1282,2019-10-29,DOWN,789
23,1283,2019-10-30,DOWN,123
24,1284,2019-10-31,UP,123
25,1285,2019-11-01,DOWN,789
26,1286,2019-11-04,DOWN,123
27,1287,2019-11-05,DOWN,456
28,1288,2019-11-06,DOWN,123
29,1289,2019-11-07,-,329
30,1290,2019-11-08,DOWN,123
31,1291,2019-11-11,UP,329
32,1292,2019-11-12,UP,789
33,1293,2019-11-13,DOWN,123
34,1294,2019-11-14,DOWN,123
35,1295,2019-11-15,DOWN,123
36,1296,2019-11-18,DOWN,789
37,1297,2019-11-19,UP,789
38,1298,2019-11-20,UP,456
39,1299,2019-11-21,UP,123
40,1300,2019-11-22,UP,123
41,1301,2019-11-25,UP,123
42,1302,2019-11-26,DOWN,123
43,1303,2019-11-27,DOWN,123
44,1304,2019-11-29,-,329
45,1305,2019-12-02,DOWN,123
46,1306,2019-12-03,UP,123
47,1307,2019-12-04,-,329
48,1308,2019-12-05,UP,789
49,1309,2019-12-06,-,329
50,1310,2019-12-09,DOWN,329
51,1311,2019-12-10,DOWN,123
52,1312,2019-12-11,UP,123
53,1313,2019-12-12,DOWN,123
54,1314,2019-12-13,DOWN,329
55,1315,2019-12-16,DOWN,456
56,1316,2019-12-17,DOWN,123
57,1317,2019-12-18,DOWN,123
58,1318,2019-12-19,DOWN,123
59,1319,2019-12-20,DOWN,123
60,1320,2019-12-23,UP,123
61,1321,2019-12-24,DOWN,123
62,1322,2019-12-26,UP,456
63,1323,2019-12-27,UP,789
64,1324,2019-12-30,-,329
65,1325,2019-12-31,DOWN,123
66,1326,2020-01-02,UP,789
67,1327,2020-01-03,UP,456
68,1328,2020-01-06,-,329
69,1329,2020-01-07,DOWN,123
70,1330,2020-01-08,-,329
71,1331,2020-01-09,-,329
72,1332,2020-01-10,DOWN,789
73,1333,2020-01-13,UP,789
74,1334,2020-01-14,UP,329
75,1335,2020-01-15,UP,789
76,1336,2020-01-16,UP,329
77,1337,2020-01-17,UP,789
78,1338,2020-01-21,DOWN,123
79,1339,2020-01-22,UP,789
80,1340,2020-01-23,-,329
81,1341,2020-01-24,UP,329
82,1342,2020-01-27,DOWN,123
83,1343,2020-01-28,UP,456
84,1344,2020-01-29,DOWN,123
85,1345,2020-01-30,DOWN,329
86,1346,2020-01-31,UP,123
87,1347,2020-02-03,UP,789
88,1348,2020-02-04,UP,123
89,1349,2020-02-05,DOWN,456
90,1350,2020-02-06,-,329
91,1351,2020-02-07,-,329
92,1352,2020-02-10,DOWN,123
93,1353,2020-02-11,DOWN,123
94,1354,2020-02-12,-,329
95,1355,2020-02-13,DOWN,456
96,1356,2020-02-14,DOWN,123
97,1357,2020-02-18,DOWN,123
98,1358,2020-02-19,UP,123
99,1359,2020-02-20,DOWN,123
100,1360,2020-02-21,DOWN,123
101,1361,2020-02-24,DOWN,456
102,1362,2020-02-25,UP,123
103,1363,2020-02-26,UP,123
104,1364,2020-02-27,UP,123
105,1365,2020-02-28,UP,123
106,1366,2020-03-02,UP,123
107,1367,2020-03-03,UP,123
108,1368,2020-03-04,UP,123
109,1369,2020-03-05,UP,123
110,1370,2020-03-06,UP,123
111,1371,2020-03-09,DOWN,123
112,1372,2020-03-10,DOWN,123
113,1373,2020-03-11,DOWN,123
114,1374,2020-03-12,DOWN,123
115,1375,2020-03-13,DOWN,123
116,1376,2020-03-16,DOWN,123
117,1377,2020-03-17,DOWN,789
118,1378,2020-03-18,DOWN,123
119,1379,2020-03-19,DOWN,123
120,1380,2020-03-20,DOWN,123
121,1381,2020-03-23,DOWN,123
122,1382,2020-03-24,DOWN,123
123,1383,2020-03-25,DOWN,123
124,1384,2020-03-26,DOWN,456
125,1385,2020-03-27,UP,789
126,1386,2020-03-30,UP,789
127,1387,2020-03-31,DOWN,789
128,1388,2020-04-01,UP,789
129,1389,2020-04-02,DOWN,123
130,1390,2020-04-03,DOWN,123
131,1391,2020-04-06,UP,123
132,1392,2020-04-07,DOWN,123
133,1393,2020-04-08,DOWN,123
134,1394,2020-04-09,DOWN,123
135,1395,2020-04-13,DOWN,123
136,1396,2020-04-14,DOWN,123
137,1397,2020-04-15,UP,789
138,1398,2020-04-16,UP,123
139,1399,2020-04-17,DOWN,123
140,1400,2020-04-20,DOWN,123
141,1401,2020-04-21,DOWN,123
142,1402,2020-04-22,DOWN,123
143,1403,2020-04-23,DOWN,123
144,1404,2020-04-24,DOWN,123
145,1405,2020-04-27,DOWN,123
146,1406,2020-04-28,UP,123
147,1407,2020-04-29,UP,789
148,1408,2020-04-30,DOWN,789
149,1409,2020-05-01,DOWN,123
150,1410,2020-05-04,UP,123
151,1411,2020-05-05,UP,123
152,1412,2020-05-06,UP,123
153,1413,2020-05-07,UP,123
154,1414,2020-05-08,UP,123
155,1415,2020-05-11,-,329
156,1416,2020-05-12,-,329
157,1417,2020-05-13,DOWN,123
158,1418,2020-05-14,UP,329
159,1419,2020-05-15,UP,123
160,1420,2020-05-18,DOWN,123
161,1421,2020-05-19,UP,456
162,1422,2020-05-20,DOWN,456
163,1423,2020-05-21,DOWN,123
164,1424,2020-05-22,UP,123
165,1425,2020-05-26,UP,789
166,1426,2020-05-27,-,329
167,1427,2020-05-28,UP,123
168,1428,2020-05-29,-,329
169,1429,2020-06-01,DOWN,789
170,1430,2020-06-02,DOWN,123
171,1431,2020-06-03,DOWN,123
172,1432,2020-06-04,DOWN,123
173,1433,2020-06-05,DOWN,123
174,1434,2020-06-08,DOWN,789
175,1435,2020-06-09,DOWN,123
176,1436,2020-06-10,DOWN,123
177,1437,2020-06-11,DOWN,123
178,1438,2020-06-12,DOWN,123
179,1439,2020-06-15,DOWN,123
180,1440,2020-06-16,DOWN,123
181,1441,2020-06-17,DOWN,123
182,1442,2020-06-18,DOWN,123
183,1443,2020-06-19,DOWN,123
184,1444,2020-06-22,UP,123
185,1445,2020-06-23,DOWN,123
186,1446,2020-06-24,DOWN,123
187,1447,2020-06-25,DOWN,789
188,1448,2020-06-26,UP,456
189,1449,2020-06-29,DOWN,123
190,1450,2020-06-30,DOWN,123
191,1451,2020-07-01,DOWN,123
192,1452,2020-07-02,DOWN,123
193,1453,2020-07-06,UP,123
194,1454,2020-07-07,UP,123
195,1455,2020-07-08,DOWN,123
196,1456,2020-07-09,UP,123
197,1457,2020-07-10,UP,123
198,1458,2020-07-13,UP,123
199,1459,2020-07-14,DOWN,123
200,1460,2020-07-15,DOWN,123
201,1461,2020-07-16,DOWN,123
202,1462,2020-07-17,DOWN,123
203,1463,2020-07-20,DOWN,123
204,1464,2020-07-21,UP,123
205,1465,2020-07-22,DOWN,123
206,1466,2020-07-23,DOWN,123
207,1467,2020-07-24,DOWN,123
208,1468,2020-07-27,DOWN,123
209,1469,2020-07-28,DOWN,123
210,1470,2020-07-29,DOWN,789
211,1471,2020-07-30,DOWN,123
212,1472,2020-07-31,DOWN,123
213,1473,2020-08-03,-,329
214,1474,2020-08-04,DOWN,456
215,1475,2020-08-05,DOWN,789
216,1476,2020-08-06,DOWN,329
217,1477,2020-08-07,DOWN,123
218,1478,2020-08-10,DOWN,123
219,1479,2020-08-11,DOWN,123
220,1480,2020-08-12,DOWN,123
