,day_index,lastdateIncludedInModel,trend_predict,seed
221,1481,2020-08-13,DOWN,123
222,1482,2020-08-14,DOWN,123
223,1483,2020-08-17,UP,123
224,1484,2020-08-18,DOWN,123
225,1485,2020-08-19,UP,123
226,1486,2020-08-20,DOWN,123
227,1487,2020-08-21,DOWN,123
228,1488,2020-08-24,DOWN,123
229,1489,2020-08-25,DOWN,123
230,1490,2020-08-26,DOWN,123
231,1491,2020-08-27,DOWN,123
232,1492,2020-08-28,DOWN,123
233,1493,2020-08-31,DOWN,456
234,1494,2020-09-01,UP,123
235,1495,2020-09-02,UP,789
236,1496,2020-09-03,UP,123
237,1497,2020-09-04,DOWN,456
238,1498,2020-09-08,UP,123
239,1499,2020-09-09,DOWN,123
240,1500,2020-09-10,DOWN,123
241,1501,2020-09-11,DOWN,456
242,1502,2020-09-14,DOWN,456
243,1503,2020-09-15,DOWN,123
244,1504,2020-09-16,UP,456
245,1505,2020-09-17,DOWN,789
246,1506,2020-09-18,DOWN,123
247,1507,2020-09-21,DOWN,789
248,1508,2020-09-22,DOWN,123
249,1509,2020-09-23,DOWN,123
250,1510,2020-09-24,DOWN,123
251,1511,2020-09-25,DOWN,329
252,1512,2020-09-28,DOWN,123
253,1513,2020-09-29,DOWN,123
254,1514,2020-09-30,DOWN,123
255,1515,2020-10-01,DOWN,123
256,1516,2020-10-02,DOWN,123
257,1517,2020-10-05,DOWN,123
258,1518,2020-10-06,DOWN,123
259,1519,2020-10-07,UP,789
260,1520,2020-10-08,DOWN,123
261,1521,2020-10-09,UP,123
262,1522,2020-10-12,DOWN,123
263,1523,2020-10-13,DOWN,789
264,1524,2020-10-14,DOWN,123
265,1525,2020-10-15,DOWN,123
266,1526,2020-10-16,DOWN,789
267,1527,2020-10-19,DOWN,789
268,1528,2020-10-20,DOWN,123
269,1529,2020-10-21,UP,123
270,1530,2020-10-22,UP,123
271,1531,2020-10-23,UP,123
272,1532,2020-10-26,UP,123
273,1533,2020-10-27,UP,123
274,1534,2020-10-28,UP,123
275,1535,2020-10-29,UP,123
276,1536,2020-10-30,UP,123
277,1537,2020-11-02,UP,123
278,1538,2020-11-03,DOWN,789
279,1539,2020-11-04,DOWN,123
280,1540,2020-11-05,DOWN,123
281,1541,2020-11-06,DOWN,123
282,1542,2020-11-09,DOWN,123
283,1543,2020-11-10,DOWN,123
284,1544,2020-11-11,DOWN,123
285,1545,2020-11-12,DOWN,123
286,1546,2020-11-13,DOWN,123
