t_stat,p_value,CI_1,CI_5,CI_10,i,j,i_sybl,j_sybl,i_sect,j_sect
-6.459799431,1.55e-07,-3.897847529,-3.336915069,-3.0449949060000003,104,288,COST,MKC,Consumer Staples,Consumer Staples
-6.318871955,3.2299999999999997e-07,-3.8981483139999997,-3.337082785,-3.045111307,6,374,ABT,RMD,Health Care,Health Care
-6.318347478,3.24e-07,-3.8980171880000003,-3.3370096719999998,-3.045060564,332,381,ORLY,SBUX,Consumer Discretionary,Consumer Discretionary
-6.216686329,5.45e-07,-3.8997699160000003,-3.337986675,-3.045738586,286,428,MGM,ULTA,Consumer Discretionary,Consumer Discretionary
-5.970163842000001,1.88e-06,-3.897847529,-3.336915069,-3.0449949060000003,344,394,PGR,SPGI,Financials,Financials
-5.963781009,1.94e-06,-3.897847529,-3.336915069,-3.0449949060000003,43,66,APD,BLL,Materials,Materials
-5.8580508170000005,3.27e-06,-3.8979182010000004,-3.336954477,-3.045022257,125,223,DHR,IDXX,Health Care,Health Care
-5.857483006,3.27e-06,-3.897847529,-3.336915069,-3.0449949060000003,8,269,ADBE,LRCX,Information Technology,Information Technology
-5.72562802,6.19e-06,-3.8983486810000003,-3.3371944989999998,-3.0451888389999997,228,442,INTC,VRSN,Information Technology,Information Technology
-5.704500089,6.85e-06,-3.8979533330000002,-3.336974067,-3.045035853,250,391,KLAC,SNPS,Information Technology,Information Technology
-5.6989575210000005,7.03e-06,-3.897847529,-3.336915069,-3.0449949060000003,8,250,ADBE,KLAC,Information Technology,Information Technology
-5.68692325,7.45e-06,-3.8985878780000003,-3.3373278510000004,-3.045281386,150,380,EQIX,SBAC,Real Estate,Real Estate
-5.6680221379999995,8.15e-06,-3.8981483139999997,-3.337082785,-3.045111307,125,374,DHR,RMD,Health Care,Health Care
-5.626502672999999,9.92e-06,-3.8981374580000003,-3.337076732,-3.045107106,5,427,ABC,UHS,Health Care,Health Care
-5.5986623,1.13e-05,-3.8981483139999997,-3.337082785,-3.045111307,374,413,RMD,TMO,Health Care,Health Care
-5.583094877000001,1.22e-05,-3.899678347,-3.3379356469999997,-3.045703177,71,121,C,DFS,Financials,Financials
-5.578214851,1.24e-05,-3.898682431,-3.337380562,-3.045317967,173,334,FIS,PAYX,Information Technology,Information Technology
-5.500787465,1.7899999999999998e-05,-3.898548186,-3.3373057239999997,-3.04526603,0,160,A,EW,Health Care,Health Care
-5.482342328,1.9399999999999997e-05,-3.897847529,-3.336915069,-3.0449949060000003,216,292,HRL,MNST,Consumer Staples,Consumer Staples
-5.47893851,1.98e-05,-3.898180347,-3.337100645,-3.0451237030000002,104,146,COST,EL,Consumer Staples,Consumer Staples
-5.382163397999999,3.0799999999999996e-05,-3.8985107169999997,-3.337284835,-3.045251533,144,432,EFX,UPS,Industrials,Industrials
-5.378478016,3.13e-05,-3.897847529,-3.336915069,-3.0449949060000003,88,351,CINF,PNC,Financials,Financials
-5.361849605,3.37e-05,-3.898269298,-3.33715024,-3.045158123,253,411,KMX,TIF,Consumer Discretionary,Consumer Discretionary
-5.3196583980000005,4.0799999999999996e-05,-3.8985878780000003,-3.3373278510000004,-3.045281386,78,150,CCI,EQIX,Real Estate,Real Estate
-5.315515116,4.16e-05,-3.897847529,-3.336915069,-3.0449949060000003,184,291,GD,MMM,Industrials,Industrials
-5.309909434,4.26e-05,-3.897847529,-3.336915069,-3.0449949060000003,84,288,CHD,MKC,Consumer Staples,Consumer Staples
-5.300154331,4.45e-05,-3.897847529,-3.336915069,-3.0449949060000003,215,450,HRB,WFC,Financials,Financials
-5.299749081,4.46e-05,-3.898012659,-3.3370071460000004,-3.0450588119999997,76,417,CB,TRV,Financials,Financials
-5.2444050639999995,5.7100000000000006e-05,-3.8979533330000002,-3.336974067,-3.045035853,269,391,LRCX,SNPS,Information Technology,Information Technology
-5.234097207,5.9699999999999994e-05,-3.898680138,-3.337379283,-3.04531708,251,283,KMB,MDLZ,Consumer Staples,Consumer Staples
-5.170466598,7.900000000000001e-05,-3.904274283,-3.340494718,-3.0474786519999997,17,232,AET,IQV,Health Care,Health Care
-5.164739137,8.1e-05,-3.897847529,-3.336915069,-3.0449949060000003,144,237,EFX,ITW,Industrials,Industrials
-5.146328142,8.78e-05,-3.902019325,-3.3392396489999996,-3.046607977,374,471,RMD,ZTS,Health Care,Health Care
-5.145933026,8.8e-05,-3.897847529,-3.336915069,-3.0449949060000003,250,300,KLAC,MSFT,Information Technology,Information Technology
-5.143598247,8.89e-05,-3.8993404419999997,-3.337747334,-3.0455724980000003,222,452,ICE,WLTW,Financials,Financials
-5.142637402,8.92e-05,-3.8985878780000003,-3.3373278510000004,-3.045281386,35,150,AMT,EQIX,Real Estate,Real Estate
-5.12045456,9.83e-05,-3.897847529,-3.336915069,-3.0449949060000003,90,288,CLX,MKC,Consumer Staples,Consumer Staples
-5.108916208,0.000103307,-3.897847529,-3.336915069,-3.0449949060000003,88,244,CINF,JPM,Financials,Financials
-5.084891942,0.00011459,-3.898048695,-3.33702724,-3.045072757,67,226,BMY,INCY,Health Care,Health Care
-5.080013698999999,0.00011702,-3.89911711,-3.3376228589999997,-3.045486117,7,190,ACN,GOOG,Information Technology,Information Technology
-5.078480577,0.00011779399999999999,-3.898109767,-3.337061292,-3.0450963910000004,246,386,K,SJM,Consumer Staples,Consumer Staples
-5.034755757,0.00014204299999999998,-3.897847529,-3.336915069,-3.0449949060000003,66,384,BLL,SHW,Materials,Materials
-5.032324216,0.000143522,-3.8981322130000002,-3.337073808,-3.045105076,131,437,DLTR,VFC,Consumer Discretionary,Consumer Discretionary
-5.027667792,0.00014639700000000001,-3.898171268,-3.3370955839999996,-3.04512019,367,372,RE,RJF,Financials,Financials
-5.020857448,0.00015069999999999998,-3.8985107169999997,-3.337284835,-3.045251533,375,432,ROK,UPS,Industrials,Industrials
-5.015133621,0.00015441,-3.89863832,-3.3373559719999997,-3.0453009019999997,24,429,ALGN,UNH,Health Care,Health Care
-4.986904639,0.00017401599999999998,-3.897847529,-3.336915069,-3.0449949060000003,279,377,MCD,ROST,Consumer Discretionary,Consumer Discretionary
-4.9794807,0.000179553,-3.897906915,-3.3369481839999997,-3.045017889,54,412,AZO,TJX,Consumer Discretionary,Consumer Discretionary
-4.970072613,0.000186811,-3.897847529,-3.336915069,-3.0449949060000003,188,304,GLW,MU,Information Technology,Information Technology
-4.968672976000001,0.00018791400000000002,-3.898434177,-3.3372421639999996,-3.045221919,269,324,LRCX,NVDA,Information Technology,Information Technology
-4.965478948,0.00019045599999999998,-3.898680138,-3.337379283,-3.04531708,216,283,HRL,MDLZ,Consumer Staples,Consumer Staples
-4.95245207,0.000201163,-3.899403224,-3.3377823230000003,-3.045596779,408,453,TDG,WM,Industrials,Industrials
-4.94698966,0.000205821,-3.897847529,-3.336915069,-3.0449949060000003,3,250,AAPL,KLAC,Information Technology,Information Technology
-4.944539975,0.00020794299999999998,-3.898309582,-3.3371727,-3.04517371,100,362,COG,PXD,Energy,Energy
-4.918922392,0.00023141900000000001,-3.897971319,-3.336984096,-3.0450428130000002,54,381,AZO,SBUX,Consumer Discretionary,Consumer Discretionary
