,day_index,lastdateIncludedInModel,trend_predict,seed
178,3678,2020-07-07,DOWN,123
179,3679,2020-07-08,DOWN,123
180,3680,2020-07-09,DOWN,123
181,3681,2020-07-10,DOWN,123
182,3682,2020-07-13,DOWN,123
183,3683,2020-07-14,DOWN,123
184,3684,2020-07-15,DOWN,789
185,3685,2020-07-16,DOWN,123
186,3686,2020-07-17,DOWN,789
187,3687,2020-07-20,DOWN,123
188,3688,2020-07-21,UP,123
189,3689,2020-07-22,UP,123
190,3690,2020-07-23,DOWN,123
191,3691,2020-07-24,DOWN,123
192,3692,2020-07-27,DOWN,123
193,3693,2020-07-28,DOWN,123
194,3694,2020-07-29,DOWN,789
195,3695,2020-07-30,DOWN,123
196,3696,2020-07-31,DOWN,123
197,3697,2020-08-03,DOWN,123
198,3698,2020-08-04,DOWN,123
199,3699,2020-08-05,DOWN,123
200,3700,2020-08-06,UP,789
201,3701,2020-08-07,UP,123
202,3702,2020-08-10,UP,123
203,3703,2020-08-11,UP,123
204,3704,2020-08-12,UP,123
205,3705,2020-08-13,UP,123
206,3706,2020-08-14,UP,123
207,3707,2020-08-17,UP,123
208,3708,2020-08-18,UP,123
209,3709,2020-08-19,UP,123
210,3710,2020-08-20,UP,123
211,3711,2020-08-21,UP,123
212,3712,2020-08-24,UP,123
213,3713,2020-08-25,UP,123
214,3714,2020-08-26,UP,123
215,3715,2020-08-27,UP,123
216,3716,2020-08-28,UP,123
217,3717,2020-08-31,UP,123
218,3718,2020-09-01,UP,123
219,3719,2020-09-02,UP,123
220,3720,2020-09-03,UP,123
221,3721,2020-09-04,UP,123
222,3722,2020-09-08,UP,123
223,3723,2020-09-09,UP,123
224,3724,2020-09-10,UP,123
225,3725,2020-09-11,UP,123
226,3726,2020-09-14,UP,123
227,3727,2020-09-15,UP,123
228,3728,2020-09-16,DOWN,123
229,3729,2020-09-17,UP,123
230,3730,2020-09-18,UP,123
231,3731,2020-09-21,UP,123
232,3732,2020-09-22,UP,123
233,3733,2020-09-23,UP,456
234,3734,2020-09-24,UP,123
235,3735,2020-09-25,UP,123
236,3736,2020-09-28,UP,123
237,3737,2020-09-29,UP,123
238,3738,2020-09-30,DOWN,123
239,3739,2020-10-01,DOWN,123
240,3740,2020-10-02,DOWN,123
241,3741,2020-10-05,UP,123
242,3742,2020-10-06,UP,123
243,3743,2020-10-07,DOWN,123
244,3744,2020-10-08,UP,456
245,3745,2020-10-09,DOWN,123
246,3746,2020-10-12,DOWN,123
247,3747,2020-10-13,UP,329
248,3748,2020-10-14,DOWN,123
249,3749,2020-10-15,DOWN,789
250,3750,2020-10-16,DOWN,123
251,3751,2020-10-19,DOWN,123
252,3752,2020-10-20,DOWN,123
253,3753,2020-10-21,UP,123
254,3754,2020-10-22,DOWN,123
255,3755,2020-10-23,UP,123
256,3756,2020-10-26,UP,789
257,3757,2020-10-27,DOWN,123
258,3758,2020-10-28,UP,123
259,3759,2020-10-29,UP,123
260,3760,2020-10-30,UP,123
261,3761,2020-11-02,UP,123
262,3762,2020-11-03,UP,123
263,3763,2020-11-04,UP,123
264,3764,2020-11-05,UP,123
265,3765,2020-11-06,UP,123
266,3766,2020-11-09,UP,123
267,3767,2020-11-10,UP,123
268,3768,2020-11-11,UP,123
269,3769,2020-11-12,UP,789
270,3770,2020-11-13,DOWN,123
