,day_index,lastdateIncludedInModel,trend_predict,seed
0,1200,2019-07-03,DOWN,329
1,1201,2019-07-05,DOWN,329
2,1202,2019-07-08,DOWN,123
3,1203,2019-07-09,DOWN,789
4,1204,2019-07-10,DOWN,123
5,1205,2019-07-11,DOWN,123
6,1206,2019-07-12,DOWN,123
7,1207,2019-07-15,DOWN,123
8,1208,2019-07-16,UP,123
9,1209,2019-07-17,DOWN,789
10,1210,2019-07-18,DOWN,789
11,1211,2019-07-19,DOWN,123
12,1212,2019-07-22,DOWN,123
13,1213,2019-07-23,DOWN,456
14,1214,2019-07-24,DOWN,123
15,1215,2019-07-25,DOWN,789
16,1216,2019-07-26,DOWN,789
17,1217,2019-07-29,UP,123
18,1218,2019-07-30,DOWN,789
19,1219,2019-07-31,DOWN,123
20,1220,2019-08-01,DOWN,123
21,1221,2019-08-02,UP,123
22,1222,2019-08-05,DOWN,789
23,1223,2019-08-06,DOWN,123
24,1224,2019-08-07,DOWN,456
25,1225,2019-08-08,DOWN,123
26,1226,2019-08-09,DOWN,123
27,1227,2019-08-12,DOWN,123
28,1228,2019-08-13,DOWN,123
29,1229,2019-08-14,DOWN,123
30,1230,2019-08-15,-,329
31,1231,2019-08-16,UP,456
32,1232,2019-08-19,DOWN,329
33,1233,2019-08-20,DOWN,329
34,1234,2019-08-21,DOWN,123
35,1235,2019-08-22,UP,329
36,1236,2019-08-23,UP,789
37,1237,2019-08-26,UP,456
38,1238,2019-08-27,DOWN,456
39,1239,2019-08-28,DOWN,789
40,1240,2019-08-29,UP,789
41,1241,2019-08-30,UP,123
42,1242,2019-09-03,UP,123
43,1243,2019-09-04,UP,123
44,1244,2019-09-05,DOWN,789
45,1245,2019-09-06,DOWN,123
46,1246,2019-09-09,DOWN,123
47,1247,2019-09-10,DOWN,123
48,1248,2019-09-11,DOWN,329
49,1249,2019-09-12,-,329
50,1250,2019-09-13,UP,456
51,1251,2019-09-16,UP,456
52,1252,2019-09-17,UP,123
53,1253,2019-09-18,DOWN,123
54,1254,2019-09-19,DOWN,456
55,1255,2019-09-20,-,329
56,1256,2019-09-23,-,329
57,1257,2019-09-24,DOWN,123
58,1258,2019-09-25,-,329
59,1259,2019-09-26,UP,123
60,1260,2019-09-27,DOWN,123
61,1261,2019-09-30,DOWN,789
62,1262,2019-10-01,DOWN,123
63,1263,2019-10-02,UP,123
64,1264,2019-10-03,UP,123
65,1265,2019-10-04,UP,789
66,1266,2019-10-07,DOWN,123
67,1267,2019-10-08,DOWN,123
68,1268,2019-10-09,DOWN,329
69,1269,2019-10-10,UP,789
70,1270,2019-10-11,-,329
71,1271,2019-10-14,DOWN,789
72,1272,2019-10-15,UP,123
73,1273,2019-10-16,UP,789
74,1274,2019-10-17,-,329
75,1275,2019-10-18,DOWN,123
76,1276,2019-10-21,DOWN,123
77,1277,2019-10-22,DOWN,123
78,1278,2019-10-23,UP,123
79,1279,2019-10-24,UP,123
80,1280,2019-10-25,DOWN,123
81,1281,2019-10-28,DOWN,123
82,1282,2019-10-29,DOWN,789
83,1283,2019-10-30,DOWN,789
84,1284,2019-10-31,DOWN,789
85,1285,2019-11-01,DOWN,123
86,1286,2019-11-04,DOWN,123
87,1287,2019-11-05,DOWN,789
88,1288,2019-11-06,DOWN,123
89,1289,2019-11-07,UP,123
90,1290,2019-11-08,DOWN,456
91,1291,2019-11-11,DOWN,789
92,1292,2019-11-12,-,329
93,1293,2019-11-13,UP,789
94,1294,2019-11-14,DOWN,789
95,1295,2019-11-15,DOWN,123
96,1296,2019-11-18,DOWN,123
97,1297,2019-11-19,DOWN,789
98,1298,2019-11-20,UP,789
99,1299,2019-11-21,UP,789
100,1300,2019-11-22,UP,123
101,1301,2019-11-25,UP,789
102,1302,2019-11-26,DOWN,789
103,1303,2019-11-27,DOWN,123
104,1304,2019-11-29,DOWN,123
105,1305,2019-12-02,UP,456
106,1306,2019-12-03,UP,123
107,1307,2019-12-04,UP,123
108,1308,2019-12-05,UP,123
109,1309,2019-12-06,UP,123
110,1310,2019-12-09,DOWN,123
111,1311,2019-12-10,DOWN,123
112,1312,2019-12-11,DOWN,456
113,1313,2019-12-12,UP,123
114,1314,2019-12-13,DOWN,123
115,1315,2019-12-16,DOWN,789
