,day_index,lastdateIncludedInModel,trend_predict,seed
116,1316,2019-12-17,DOWN,123
117,1317,2019-12-18,DOWN,789
118,1318,2019-12-19,DOWN,789
119,1319,2019-12-20,DOWN,123
120,1320,2019-12-23,-,329
121,1321,2019-12-24,UP,123
122,1322,2019-12-26,DOWN,329
123,1323,2019-12-27,DOWN,456
124,1324,2019-12-30,DOWN,123
125,1325,2019-12-31,DOWN,123
126,1326,2020-01-02,UP,123
127,1327,2020-01-03,-,329
128,1328,2020-01-06,-,329
129,1329,2020-01-07,DOWN,123
130,1330,2020-01-08,DOWN,329
131,1331,2020-01-09,-,329
132,1332,2020-01-10,UP,456
133,1333,2020-01-13,UP,123
134,1334,2020-01-14,UP,329
135,1335,2020-01-15,UP,789
136,1336,2020-01-16,-,329
137,1337,2020-01-17,UP,123
138,1338,2020-01-21,UP,456
139,1339,2020-01-22,DOWN,456
140,1340,2020-01-23,-,329
141,1341,2020-01-24,-,329
142,1342,2020-01-27,DOWN,123
143,1343,2020-01-28,DOWN,123
144,1344,2020-01-29,DOWN,123
145,1345,2020-01-30,-,329
146,1346,2020-01-31,UP,456
147,1347,2020-02-03,UP,123
148,1348,2020-02-04,UP,123
149,1349,2020-02-05,UP,789
150,1350,2020-02-06,UP,456
151,1351,2020-02-07,UP,456
152,1352,2020-02-10,DOWN,456
153,1353,2020-02-11,DOWN,123
154,1354,2020-02-12,UP,123
155,1355,2020-02-13,UP,123
156,1356,2020-02-14,UP,123
157,1357,2020-02-18,-,329
158,1358,2020-02-19,DOWN,789
159,1359,2020-02-20,DOWN,789
160,1360,2020-02-21,DOWN,456
161,1361,2020-02-24,DOWN,123
162,1362,2020-02-25,UP,789
163,1363,2020-02-26,UP,123
164,1364,2020-02-27,UP,123
165,1365,2020-02-28,UP,123
166,1366,2020-03-02,UP,123
167,1367,2020-03-03,UP,123
168,1368,2020-03-04,UP,123
169,1369,2020-03-05,UP,123
170,1370,2020-03-06,UP,123
171,1371,2020-03-09,DOWN,123
172,1372,2020-03-10,DOWN,123
173,1373,2020-03-11,DOWN,123
174,1374,2020-03-12,DOWN,123
175,1375,2020-03-13,DOWN,123
176,1376,2020-03-16,DOWN,123
177,1377,2020-03-17,UP,789
178,1378,2020-03-18,DOWN,123
179,1379,2020-03-19,DOWN,123
180,1380,2020-03-20,DOWN,123
181,1381,2020-03-23,DOWN,123
182,1382,2020-03-24,DOWN,789
183,1383,2020-03-25,UP,123
184,1384,2020-03-26,UP,789
185,1385,2020-03-27,DOWN,789
186,1386,2020-03-30,UP,123
187,1387,2020-03-31,UP,123
188,1388,2020-04-01,UP,123
189,1389,2020-04-02,DOWN,123
190,1390,2020-04-03,DOWN,123
191,1391,2020-04-06,DOWN,123
192,1392,2020-04-07,DOWN,123
193,1393,2020-04-08,DOWN,123
194,1394,2020-04-09,DOWN,123
195,1395,2020-04-13,DOWN,123
196,1396,2020-04-14,DOWN,123
197,1397,2020-04-15,-,329
198,1398,2020-04-16,UP,789
199,1399,2020-04-17,UP,789
200,1400,2020-04-20,DOWN,123
201,1401,2020-04-21,DOWN,123
202,1402,2020-04-22,DOWN,123
203,1403,2020-04-23,DOWN,456
204,1404,2020-04-24,UP,123
205,1405,2020-04-27,DOWN,123
206,1406,2020-04-28,DOWN,123
207,1407,2020-04-29,DOWN,123
208,1408,2020-04-30,DOWN,123
209,1409,2020-05-01,DOWN,123
210,1410,2020-05-04,UP,456
211,1411,2020-05-05,UP,789
212,1412,2020-05-06,UP,789
213,1413,2020-05-07,DOWN,123
214,1414,2020-05-08,UP,456
215,1415,2020-05-11,UP,456
216,1416,2020-05-12,UP,456
217,1417,2020-05-13,UP,123
218,1418,2020-05-14,UP,123
219,1419,2020-05-15,-,329
220,1420,2020-05-18,DOWN,123
221,1421,2020-05-19,DOWN,123
222,1422,2020-05-20,UP,123
223,1423,2020-05-21,UP,123
224,1424,2020-05-22,UP,123
225,1425,2020-05-26,DOWN,789
226,1426,2020-05-27,DOWN,123
227,1427,2020-05-28,DOWN,123
228,1428,2020-05-29,UP,123
229,1429,2020-06-01,UP,123
230,1430,2020-06-02,UP,123
231,1431,2020-06-03,UP,789
232,1432,2020-06-04,DOWN,123
233,1433,2020-06-05,-,329
234,1434,2020-06-08,-,329
235,1435,2020-06-09,DOWN,123
236,1436,2020-06-10,-,329
237,1437,2020-06-11,DOWN,123
238,1438,2020-06-12,DOWN,789
239,1439,2020-06-15,-,329
240,1440,2020-06-16,UP,123
241,1441,2020-06-17,DOWN,329
242,1442,2020-06-18,DOWN,123
243,1443,2020-06-19,DOWN,123
244,1444,2020-06-22,DOWN,789
245,1445,2020-06-23,-,329
246,1446,2020-06-24,-,329
247,1447,2020-06-25,UP,789
248,1448,2020-06-26,UP,456
249,1449,2020-06-29,DOWN,789
250,1450,2020-06-30,DOWN,123
251,1451,2020-07-01,DOWN,123
252,1452,2020-07-02,UP,456
253,1453,2020-07-06,UP,123
254,1454,2020-07-07,UP,123
255,1455,2020-07-08,UP,123
256,1456,2020-07-09,DOWN,123
257,1457,2020-07-10,UP,123
258,1458,2020-07-13,UP,123
259,1459,2020-07-14,DOWN,123
260,1460,2020-07-15,DOWN,123
261,1461,2020-07-16,DOWN,123
262,1462,2020-07-17,DOWN,123
263,1463,2020-07-20,DOWN,123
264,1464,2020-07-21,DOWN,123
265,1465,2020-07-22,DOWN,123
266,1466,2020-07-23,DOWN,123
267,1467,2020-07-24,DOWN,123
268,1468,2020-07-27,DOWN,123
269,1469,2020-07-28,DOWN,123
270,1470,2020-07-29,UP,123
271,1471,2020-07-30,DOWN,123
272,1472,2020-07-31,DOWN,789
273,1473,2020-08-03,-,329
274,1474,2020-08-04,DOWN,329
275,1475,2020-08-05,UP,456
276,1476,2020-08-06,UP,456
277,1477,2020-08-07,DOWN,789
278,1478,2020-08-10,DOWN,789
279,1479,2020-08-11,DOWN,123
280,1480,2020-08-12,DOWN,123
281,1481,2020-08-13,DOWN,789
282,1482,2020-08-14,DOWN,123
283,1483,2020-08-17,DOWN,123
284,1484,2020-08-18,UP,123
285,1485,2020-08-19,DOWN,123
286,1486,2020-08-20,UP,123
287,1487,2020-08-21,UP,123
288,1488,2020-08-24,UP,123
289,1489,2020-08-25,DOWN,123
290,1490,2020-08-26,DOWN,123
291,1491,2020-08-27,DOWN,789
292,1492,2020-08-28,UP,123
293,1493,2020-08-31,UP,456
294,1494,2020-09-01,UP,123
295,1495,2020-09-02,UP,123
296,1496,2020-09-03,UP,123
297,1497,2020-09-04,UP,789
298,1498,2020-09-08,DOWN,123
299,1499,2020-09-09,DOWN,123
300,1500,2020-09-10,DOWN,789
301,1501,2020-09-11,DOWN,123
302,1502,2020-09-14,UP,123
303,1503,2020-09-15,DOWN,123
304,1504,2020-09-16,UP,123
305,1505,2020-09-17,UP,789
306,1506,2020-09-18,UP,123
307,1507,2020-09-21,DOWN,789
308,1508,2020-09-22,DOWN,456
309,1509,2020-09-23,DOWN,123
310,1510,2020-09-24,UP,123
311,1511,2020-09-25,DOWN,789
312,1512,2020-09-28,DOWN,123
313,1513,2020-09-29,DOWN,329
314,1514,2020-09-30,UP,789
315,1515,2020-10-01,DOWN,789
316,1516,2020-10-02,DOWN,123
317,1517,2020-10-05,DOWN,123
318,1518,2020-10-06,UP,789
319,1519,2020-10-07,UP,789
320,1520,2020-10-08,DOWN,123
321,1521,2020-10-09,DOWN,123
322,1522,2020-10-12,DOWN,123
323,1523,2020-10-13,UP,123
324,1524,2020-10-14,DOWN,123
325,1525,2020-10-15,DOWN,123
326,1526,2020-10-16,UP,789
327,1527,2020-10-19,DOWN,123
328,1528,2020-10-20,UP,123
329,1529,2020-10-21,UP,123
330,1530,2020-10-22,DOWN,123
331,1531,2020-10-23,UP,789
332,1532,2020-10-26,UP,456
333,1533,2020-10-27,UP,123
334,1534,2020-10-28,UP,123
335,1535,2020-10-29,UP,123
336,1536,2020-10-30,UP,123
337,1537,2020-11-02,UP,123
338,1538,2020-11-03,DOWN,123
339,1539,2020-11-04,DOWN,123
340,1540,2020-11-05,UP,123
341,1541,2020-11-06,DOWN,123
342,1542,2020-11-09,UP,123
343,1543,2020-11-10,DOWN,123
344,1544,2020-11-11,DOWN,123
345,1545,2020-11-12,DOWN,123
346,1546,2020-11-13,DOWN,123
