,day_index,date,open_close,L/S,profit,trend_predicted,combo_price
0,-1,-,-,-,0.0,-,0.0
1,1200,2019-07-03 00:00:00,O,S,0.0,DOWN,3.1366691462585976
2,1208,2019-07-16 00:00:00,C,S,-2.897685179221085,UP,6.034354325479683
3,1208,2019-07-16 00:00:00,O,L,0.0,UP,6.034354325479683
4,1209,2019-07-17 00:00:00,C,L,-0.7709458312510549,DOWN,5.263408494228628
5,1209,2019-07-17 00:00:00,O,S,0.0,DOWN,5.263408494228628
6,1217,2019-07-29 00:00:00,C,S,-2.419908247519672,UP,7.6833167417483
7,1217,2019-07-29 00:00:00,O,L,0.0,UP,7.6833167417483
8,1218,2019-07-30 00:00:00,C,L,0.5303631139631904,DOWN,8.21367985571149
9,1218,2019-07-30 00:00:00,O,S,0.0,DOWN,8.21367985571149
10,1221,2019-08-02 00:00:00,C,S,3.203949806198466,UP,5.009730049513024
11,1221,2019-08-02 00:00:00,O,L,0.0,UP,5.009730049513024
12,1222,2019-08-05 00:00:00,C,L,0.4773148904847915,DOWN,5.487044939997816
13,1222,2019-08-05 00:00:00,O,S,0.0,DOWN,5.487044939997816
14,1231,2019-08-16 00:00:00,C,S,8.594812176258486,UP,-3.1077672362606705
15,1231,2019-08-16 00:00:00,O,L,0.0,UP,-3.1077672362606705
16,1232,2019-08-19 00:00:00,C,L,-0.6453712804406706,DOWN,-3.753138516701341
17,1232,2019-08-19 00:00:00,O,S,0.0,DOWN,-3.753138516701341
18,1235,2019-08-22 00:00:00,C,S,-4.876034342589747,UP,1.1228958258884063
19,1235,2019-08-22 00:00:00,O,L,0.0,UP,1.1228958258884063
20,1238,2019-08-27 00:00:00,C,L,1.223862226440204,DOWN,2.3467580523286102
21,1238,2019-08-27 00:00:00,O,S,0.0,DOWN,2.3467580523286102
22,1240,2019-08-29 00:00:00,C,S,6.696877665964806,UP,-4.3501196136361955
23,1240,2019-08-29 00:00:00,O,L,0.0,UP,-4.3501196136361955
24,1244,2019-09-05 00:00:00,C,L,-0.13706403825740665,DOWN,-4.487183651893602
25,1244,2019-09-05 00:00:00,O,S,0.0,DOWN,-4.487183651893602
26,1250,2019-09-13 00:00:00,C,S,-1.6325204071702757,UP,-2.8546632447233264
27,1250,2019-09-13 00:00:00,O,L,0.0,UP,-2.8546632447233264
28,1253,2019-09-18 00:00:00,C,L,-0.2147319428934935,DOWN,-3.06939518761682
29,1253,2019-09-18 00:00:00,O,S,0.0,DOWN,-3.06939518761682
30,1259,2019-09-26 00:00:00,C,S,-1.7159281340771315,UP,-1.3534670535396884
31,1259,2019-09-26 00:00:00,O,L,0.0,UP,-1.3534670535396884
32,1260,2019-09-27 00:00:00,C,L,4.704312589490328,DOWN,3.35084553595064
33,1260,2019-09-27 00:00:00,O,S,0.0,DOWN,3.35084553595064
34,1263,2019-10-02 00:00:00,C,S,3.0836413287104136,UP,0.2672042072402263
35,1263,2019-10-02 00:00:00,O,L,0.0,UP,0.2672042072402263
36,1266,2019-10-07 00:00:00,C,L,0.7826252777925831,DOWN,1.0498294850328094
37,1266,2019-10-07 00:00:00,O,S,0.0,DOWN,1.0498294850328094
38,1269,2019-10-10 00:00:00,C,S,-0.7678028837233839,UP,1.8176323687561933
39,1269,2019-10-10 00:00:00,O,L,0.0,UP,1.8176323687561933
40,1271,2019-10-14 00:00:00,C,L,0.0019173561988594656,DOWN,1.8195497249550527
41,1271,2019-10-14 00:00:00,O,S,0.0,DOWN,1.8195497249550527
42,1272,2019-10-15 00:00:00,C,S,2.3293468041580354,UP,-0.5097970792029827
43,1272,2019-10-15 00:00:00,O,L,0.0,UP,-0.5097970792029827
44,1275,2019-10-18 00:00:00,C,L,4.8531864108023655,DOWN,4.343389331599383
45,1275,2019-10-18 00:00:00,O,S,0.0,DOWN,4.343389331599383
46,1278,2019-10-23 00:00:00,C,S,-1.2084068118078903,UP,5.551796143407273
47,1278,2019-10-23 00:00:00,O,L,0.0,UP,5.551796143407273
48,1280,2019-10-25 00:00:00,C,L,-0.6177333208017757,DOWN,4.9340628226054974
49,1280,2019-10-25 00:00:00,O,S,0.0,DOWN,4.9340628226054974
50,1289,2019-11-07 00:00:00,C,S,1.9113164607504984,UP,3.022746361854999
51,1289,2019-11-07 00:00:00,O,L,0.0,UP,3.022746361854999
52,1290,2019-11-08 00:00:00,C,L,0.6275465908891533,DOWN,3.6502929527441523
53,1290,2019-11-08 00:00:00,O,S,0.0,DOWN,3.6502929527441523
54,1293,2019-11-13 00:00:00,C,S,0.002061528779321975,UP,3.6482314239648304
55,1293,2019-11-13 00:00:00,O,L,0.0,UP,3.6482314239648304
56,1294,2019-11-14 00:00:00,C,L,0.4429008373879384,DOWN,4.091132261352769
57,1294,2019-11-14 00:00:00,O,S,0.0,DOWN,4.091132261352769
58,1298,2019-11-20 00:00:00,C,S,1.2403065502572304,UP,2.8508257110955384
59,1298,2019-11-20 00:00:00,O,L,0.0,UP,2.8508257110955384
60,1302,2019-11-26 00:00:00,C,L,2.5272803436925955,DOWN,5.378106054788134
61,1302,2019-11-26 00:00:00,O,S,0.0,DOWN,5.378106054788134
62,1305,2019-12-02 00:00:00,C,S,2.9189835895048475,UP,2.4591224652832864
63,1305,2019-12-02 00:00:00,O,L,0.0,UP,2.4591224652832864
64,1310,2019-12-09 00:00:00,C,L,2.3564427816433238,DOWN,4.81556524692661
65,1310,2019-12-09 00:00:00,O,S,0.0,DOWN,4.81556524692661
