index,seed,trend
2363,789, -
2363,456, DOWN
2364,123, -
2364,789, -
2364,456, DOWN
2365,123, -
2365,789, -
2365,456, -
2365,329, -
2366,123, -
2366,789, -
2366,456, DOWN
2367,123, DOWN
2368,123, -
2368,789, -
2368,456, -
2368,329, -
2369,123, -
2369,789, -
2369,456, -
2369,329, -
2370,123, -
2370,789, -
2370,456, -
2370,329, -
2371,123, -
2371,789, -
2371,456, -
2371,329, -
2372,123, -
2372,789, -
2372,456, -
2372,329, -
2373,123, -
2373,789, -
2373,456, DOWN
2374,123, -
2374,789, -
2374,456, -
2374,329, -
2375,123, -
2375,789, -
2375,456, -
2375,329, -
2376,123, -
2376,789, -
2376,456, -
2376,329, -
2377,123, -
2377,789, DOWN
2378,123, -
2378,789, -
2378,456, -
2378,329, -
2379,123, UP
2380,123, -
2380,789, -
2380,456, DOWN
2381,123, -
2381,789, UP
2382,123, UP
2383,123, -
2383,789, -
2383,456, -
2383,329, UP
2384,123, UP
2385,123, -
2385,789, -
2385,456, -
2385,329, -
2386,123, -
2386,789, -
2386,456, -
2386,329, -
2387,123, -
2387,789, -
2387,456, -
2387,329, -
2388,123, -
2388,789, -
2388,456, -
2388,329, -
2389,123, -
2389,789, -
2389,456, -
2389,329, -
2390,123, -
2390,789, DOWN
2391,123, -
2391,789, -
2391,456, -
2391,329, -
2392,123, UP
2393,123, UP
2394,123, -
2394,789, -
2394,456, UP
2395,123, UP
2396,123, -
2396,789, -
2396,456, -
2396,329, -
2397,123, DOWN
2398,123, UP
2399,123, UP
on,2200,
2400,123, -
2400,789, DOWN
2401,123, -
2401,789, -
2401,456, -
2401,329, DOWN
2402,123, UP
2403,123, UP
2404,123, -
2404,789, -
2404,456, UP
2405,123, DOWN
2406,123, UP
2407,123, -
2407,789, -
2407,456, -
2407,329, -
2408,123, -
2408,789, -
2408,456, -
2408,329, -
2409,123, -
2409,789, DOWN
2410,123, -
2410,789, -
2410,456, -
2410,329, -
2411,123, DOWN
2412,123, UP
2413,123, -
2413,789, -
2413,456, -
2413,329, -
2414,123, -
2414,789, -
2414,456, -
2414,329, UP
2415,123, DOWN
2416,123, -
2416,789, -
2416,456, -
2416,329, -
2417,123, -
2417,789, -
2417,456, -
2417,329, -
2418,123, -
2418,789, -
2418,456, -
2418,329, -
2419,123, -
2419,789, DOWN
2420,123, DOWN
2421,123, -
2421,789, -
2421,456, -
2421,329, -
2422,123, -
2422,789, -
2422,456, DOWN
2423,123, -
2423,789, DOWN
2424,123, -
2424,789, -
2424,456, DOWN
2425,123, -
2425,789, -
2425,456, -
2425,329, DOWN
2426,123, -
2426,789, -
2426,456, DOWN
2427,123, UP
2428,123, UP
2429,123, -
2429,789, -
2429,456, DOWN
2430,123, -
2430,789, -
2430,456, -
2430,329, -
2431,123, -
2431,789, UP
2432,123, -
2432,789, -
2432,456, -
2432,329, -
2433,123, -
2433,789, UP
2434,123, UP
2435,123, -
2435,789, -
2435,456, DOWN
2436,123, -
2436,789, UP
2437,123, UP
2438,123, UP
2439,123, -
2439,789, -
2439,456, DOWN
2440,123, -
2440,789, UP
2441,123, -
2441,789, UP
2442,123, UP
2443,123, UP
2444,123, UP
2445,123, -
2445,789, UP
2446,123, -
2446,789, -
2446,456, -
2446,329, -
2447,123, UP
2448,123, UP
2449,123, UP
2450,123, UP
2451,123, UP
2452,123, -
2452,789, UP
2453,123, -
2453,789, -
2453,456, -
2453,329, -
2454,123, -
2454,789, -
2454,456, -
2454,329, -
2455,123, -
2455,789, -
2455,456, -
2455,329, -
2456,123, -
2456,789, -
2456,456, -
2456,329, -
2457,123, -
2457,789, -
2457,456, -
2457,329, -
2458,123, -
2458,789, -
2458,456, -
2458,329, -
2459,123, -
2459,789, -
2459,456, -
2459,329, -
2460,123, -
2460,789, -
2460,456, -
2460,329, -
2461,123, -
2461,789, -
2461,456, -
2461,329, -
2462,123, -
2462,789, -
2462,456, -
2462,329, -
2463,123, -
2463,789, -
2463,456, -
2463,329, -
2464,123, -
2464,789, -
2464,456, -
2464,329, -
2465,123, -
2465,789, -
2465,456, -
2465,329, -
2466,123, -
2466,789, -
2466,456, -
2466,329, -
2467,123, -
2467,789, -
2467,456, -
2467,329, -
2468,123, -
2468,789, -
2468,456, -
2468,329, -
2469,123, -
2469,789, -
2469,456, -
2469,329, -
2470,123, -
2470,789, -
2470,456, -
2470,329, -
2471,123, -
2471,789, -
2471,456, -
2471,329, -
2472,123, -
2472,789, -
2472,456, -
2472,329, -
2473,123, -
2473,789, -
2473,456, -
2473,329, -
2474,123, -
2474,789, -
2474,456, -
2474,329, -
2475,123, -
2475,789, -
2475,456, -
2475,329, -
2476,123, -
2476,789, -
2476,456, -
2476,329, -
2477,123, -
2477,789, -
2477,456, -
2477,329, -
2478,123, -
2478,789, -
2478,456, -
2478,329, -
2479,123, -
2479,789, -
2479,456, -
2479,329, -
2480,123, -
2480,789, -
2480,456, -
2480,329, -
2481,123, -
2481,789, -
2481,456, -
2481,329, -
2482,123, -
2482,789, -
2482,456, -
2482,329, -
2483,123, -
2483,789, -
2483,456, -
2483,329, -
2484,123, -
2484,789, -
2484,456, -
2484,329, -
2485,123, -
2485,789, -
2485,456, -
2485,329, -
2486,123, -
2486,789, -
2486,456, -
2486,329, -
2487,123, -
2487,789, -
2487,456, -
2487,329, -
2488,123, -
2488,789, -
2488,456, -
2488,329, -
2489,123, -
2489,789, -
2489,456, -
2489,329, -
2490,123, -
2490,789, -
2490,456, -
2490,329, -
2491,123, -
2491,789, -
2491,456, -
2491,329, -
2492,123, -
2492,789, -
2492,456, -
2492,329, -
2493,123, -
2493,789, -
2493,456, -
2493,329, -
2494,123, -
2494,789, -
2494,456, -
2494,329, -
2495,123, -
2495,789, -
2495,456, -
2495,329, -
2496,123, -
2496,789, -
2496,456, -
2496,329, -
2497,123, -
2497,789, -
2497,456, -
2497,329, -
2498,123, -
2498,789, -
2498,456, -
2498,329, -
2499,123, -
2499,789, -
2499,456, -
2499,329, -
on,2300,
2500,123, -
2500,789, -
2500,456, -
2500,329, -
2501,123, -
2501,789, -
2501,456, -
2501,329, -
2502,123, -
2502,789, -
2502,456, -
2502,329, -
2503,123, -
2503,789, -
2503,456, -
2503,329, -
2504,123, -
2504,789, -
2504,456, -
2504,329, -
2505,123, -
2505,789, -
2505,456, -
2505,329, -
2506,123, -
2506,789, -
2506,456, -
2506,329, -
2507,123, -
2507,789, -
2507,456, -
2507,329, -
2508,123, -
2508,789, -
2508,456, -
2508,329, -
2509,123, -
2509,789, -
2509,456, -
2509,329, -
2510,123, -
2510,789, -
2510,456, -
2510,329, -
2511,123, -
2511,789, -
2511,456, -
2511,329, -
2512,123, -
2512,789, -
2512,456, -
2512,329, -
2513,123, -
2513,789, -
2513,456, -
2513,329, -
2514,123, -
2514,789, -
2514,456, -
2514,329, -
2515,123, -
2515,789, -
2515,456, -
2515,329, -
2516,123, -
2516,789, -
2516,456, -
2516,329, -
2517,123, -
2517,789, -
2517,456, -
2517,329, -
2518,123, -
2518,789, -
2518,456, -
2518,329, -
2519,123, -
2519,789, -
2519,456, -
2519,329, -
2520,123, -
2520,789, -
2520,456, -
2520,329, -
2521,123, -
2521,789, -
2521,456, -
2521,329, -
2522,123, -
2522,789, -
2522,456, -
2522,329, -
2523,123, -
2523,789, -
2523,456, -
2523,329, -
2524,123, -
2524,789, -
2524,456, -
2524,329, -
2525,123, -
2525,789, -
2525,456, -
2525,329, -
2526,123, -
2526,789, -
2526,456, -
2526,329, -
2527,123, -
2527,789, -
2527,456, -
2527,329, -
2528,123, -
2528,789, -
2528,456, -
2528,329, -
2529,123, -
2529,789, -
2529,456, -
2529,329, -
2530,123, -
2530,789, -
2530,456, -
2530,329, -
2531,123, -
2531,789, -
2531,456, -
2531,329, -
2532,123, -
2532,789, -
2532,456, -
2532,329, -
2533,123, -
2533,789, -
2533,456, -
2533,329, -
2534,123, -
2534,789, -
2534,456, -
2534,329, -
2535,123, -
2535,789, -
2535,456, -
2535,329, -
2536,123, -
2536,789, -
2536,456, -
2536,329, -
2537,123, -
2537,789, -
2537,456, -
2537,329, -
2538,123, -
2538,789, -
2538,456, -
2538,329, -
2539,123, -
2539,789, -
2539,456, -
2539,329, -
2540,123, -
2540,789, -
2540,456, -
2540,329, -
2541,123, -
2541,789, UP
2542,123, UP
2543,123, UP
2544,123, DOWN
2545,123, -
2545,789, -
2545,456, -
2545,329, -
2546,123, UP
2547,123, -
2547,789, -
2547,456, -
2547,329, -
2548,123, -
2548,789, -
2548,456, -
2548,329, -
2549,123, -
2549,789, -
2549,456, -
2549,329, -
2550,123, -
2550,789, -
2550,456, -
2550,329, -
2551,123, -
2551,789, -
2551,456, -
2551,329, -
2552,123, -
2552,789, -
2552,456, -
2552,329, -
2553,123, -
2553,789, -
2553,456, -
2553,329, -
2554,123, -
2554,789, -
2554,456, -
2554,329, -
2555,123, -
2555,789, -
2555,456, -
2555,329, -
2556,123, -
2556,789, -
2556,456, -
2556,329, -
2557,123, -
2557,789, -
2557,456, -
2557,329, -
2558,123, -
2558,789, -
2558,456, -
2558,329, -
2559,123, -
2559,789, -
2559,456, -
2559,329, -
2560,123, -
2560,789, -
2560,456, -
2560,329, -
2561,123, -
2561,789, -
2561,456, -
2561,329, -
2562,123, -
2562,789, -
2562,456, -
2562,329, -
2563,123, -
2563,789, -
2563,456, -
2563,329, -
2564,123, -
2564,789, -
2564,456, -
2564,329, -
2565,123, -
2565,789, -
2565,456, -
2565,329, -
2566,123, -
2566,789, -
2566,456, -
2566,329, -
2567,123, -
2567,789, -
2567,456, -
2567,329, -
2568,123, -
2568,789, -
2568,456, -
2568,329, -
2569,123, -
2569,789, -
2569,456, -
2569,329, -
2570,123, -
2570,789, -
2570,456, -
2570,329, -
2571,123, -
2571,789, -
2571,456, -
2571,329, -
2572,123, -
2572,789, -
2572,456, -
2572,329, -
2573,123, -
2573,789, -
2573,456, -
2573,329, -
2574,123, -
2574,789, -
2574,456, -
2574,329, -
2575,123, -
2575,789, -
2575,456, -
2575,329, -
2576,123, -
2576,789, -
2576,456, -
2576,329, -
2577,123, -
2577,789, -
2577,456, -
2577,329, -
2578,123, -
2578,789, -
2578,456, -
2578,329, -
2579,123, -
2579,789, -
2579,456, -
2579,329, -
2580,123, -
2580,789, -
2580,456, -
2580,329, -
2581,123, -
2581,789, -
2581,456, -
2581,329, -
2582,123, -
2582,789, -
2582,456, -
2582,329, -
2583,123, -
2583,789, -
2583,456, -
2583,329, -
2584,123, -
2584,789, -
2584,456, -
2584,329, -
2585,123, -
2585,789, -
2585,456, -
2585,329, -
2586,123, -
2586,789, -
2586,456, -
2586,329, -
2587,123, -
2587,789, -
2587,456, -
2587,329, -
2588,123, -
2588,789, -
2588,456, -
2588,329, -
2589,123, -
2589,789, -
2589,456, -
2589,329, -
2590,123, -
2590,789, -
2590,456, -
2590,329, -
2591,123, -
2591,789, -
2591,456, -
2591,329, -
2592,123, DOWN
2593,123, -
2593,789, -
2593,456, -
2593,329, -
2594,123, DOWN
2595,123, -
2595,789, UP
2596,123, DOWN
2597,123, DOWN
2598,123, DOWN
2599,123, -
2599,789, -
2599,456, -
2599,329, -
on,2400,
2600,123, -
2600,789, -
2600,456, -
2600,329, DOWN
2601,123, -
2601,789, -
2601,456, -
2601,329, UP
2602,123, UP
2603,123, -
2603,789, -
2603,456, -
2603,329, -
2604,123, -
2604,789, -
2604,456, -
2604,329, -
2605,123, -
2605,789, -
2605,456, -
2605,329, DOWN
2606,123, -
2606,789, -
2606,456, -
2606,329, UP
2607,123, -
2607,789, -
2607,456, -
2607,329, -
2608,123, -
2608,789, -
2608,456, -
2608,329, -
2609,123, -
2609,789, -
2609,456, -
2609,329, -
2610,123, -
2610,789, -
2610,456, -
2610,329, -
2611,123, -
2611,789, -
2611,456, UP
2612,123, -
2612,789, -
2612,456, -
2612,329, -
2613,123, -
2613,789, -
2613,456, -
2613,329, -
2614,123, -
2614,789, -
2614,456, -
2614,329, -
2615,123, -
2615,789, -
2615,456, -
2615,329, -
2616,123, DOWN
2617,123, UP
2618,123, -
2618,789, -
2618,456, DOWN
2619,123, DOWN
2620,123, DOWN
2621,123, DOWN
2622,123, DOWN
2623,123, DOWN
2624,123, -
2624,789, -
2624,456, -
2624,329, -
2625,123, -
2625,789, DOWN
2626,123, -
2626,789, -
2626,456, -
2626,329, -
2627,123, -
2627,789, -
2627,456, -
2627,329, -
2628,123, DOWN
2629,123, UP
2630,123, -
2630,789, -
2630,456, -
2630,329, -
2631,123, -
2631,789, -
2631,456, -
2631,329, -
2632,123, -
2632,789, -
2632,456, -
2632,329, -
2633,123, -
2633,789, -
2633,456, -
2633,329, -
2634,123, -
2634,789, -
2634,456, -
2634,329, -
2635,123, -
2635,789, -
2635,456, -
2635,329, -
2636,123, -
2636,789, -
2636,456, -
2636,329, -
2637,123, -
2637,789, -
2637,456, -
2637,329, -
2638,123, UP
2639,123, -
2639,789, -
2639,456, -
2639,329, -
2640,123, -
2640,789, -
2640,456, UP
2641,123, -
2641,789, -
2641,456, -
2641,329, -
2642,123, -
2642,789, -
2642,456, -
2642,329, -
2643,123, -
2643,789, -
2643,456, -
2643,329, -
2644,123, -
2644,789, -
2644,456, -
2644,329, -
2645,123, -
2645,789, -
2645,456, -
2645,329, -
2646,123, -
2646,789, -
2646,456, UP
2647,123, -
2647,789, UP
2648,123, -
2648,789, -
2648,456, -
2648,329, UP
2649,123, -
2649,789, -
2649,456, -
2649,329, -
2650,123, -
2650,789, -
2650,456, -
2650,329, UP
2651,123, UP
2652,123, -
2652,789, -
2652,456, UP
2653,123, DOWN
2654,123, DOWN
2655,123, -
2655,789, -
2655,456, -
2655,329, -
2656,123, -
2656,789, -
2656,456, -
2656,329, -
2657,123, -
2657,789, -
2657,456, -
2657,329, -
2658,123, -
2658,789, -
2658,456, -
2658,329, -
2659,123, -
2659,789, -
2659,456, -
2659,329, UP
2660,123, -
2660,789, DOWN
2661,123, DOWN
2662,123, -
2662,789, DOWN
2663,123, DOWN
2664,123, UP
2665,123, -
2665,789, UP
2666,123, UP
2667,123, UP
2668,123, -
2668,789, -
2668,456, -
2668,329, -
2669,123, -
2669,789, UP
2670,123, UP
2671,123, -
2671,789, -
2671,456, UP
2672,123, -
2672,789, -
2672,456, UP
2673,123, -
2673,789, -
2673,456, -
2673,329, -
2674,123, -
2674,789, -
2674,456, UP
2675,123, UP
2676,123, DOWN
2677,123, UP
2678,123, UP
2679,123, UP
2680,123, UP
2681,123, -
2681,789, UP
2682,123, -
2682,789, -
2682,456, UP
2683,123, -
2683,789, UP
2684,123, -
2684,789, -
2684,456, -
2684,329, -
2685,123, UP
2686,123, UP
2687,123, UP
2688,123, -
2688,789, UP
2689,123, UP
2690,123, -
2690,789, -
2690,456, UP
2691,123, UP
2692,123, -
2692,789, -
2692,456, UP
2693,123, -
2693,789, -
2693,456, UP
2694,123, UP
2695,123, -
2695,789, UP
2696,123, UP
2697,123, -
2697,789, UP
2698,123, -
2698,789, -
2698,456, -
2698,329, -
2699,123, UP
on,2500,
2700,123, -
2700,789, UP
2701,123, UP
2702,123, -
2702,789, -
2702,456, UP
2703,123, -
2703,789, UP
2704,123, -
2704,789, -
2704,456, -
2704,329, -
2705,123, -
2705,789, UP
2706,123, -
2706,789, -
2706,456, -
2706,329, UP
2707,123, -
2707,789, UP
2708,123, UP
2709,123, -
2709,789, -
2709,456, UP
2710,123, -
2710,789, -
2710,456, -
2710,329, UP
2711,123, -
2711,789, -
2711,456, UP
2712,123, UP
2713,123, -
2713,789, -
2713,456, -
2713,329, -
2714,123, -
2714,789, -
2714,456, UP
2715,123, UP
2716,123, -
2716,789, -
2716,456, UP
2717,123, -
2717,789, -
2717,456, UP
2718,123, -
2718,789, UP
2719,123, -
2719,789, -
2719,456, -
2719,329, UP
2720,123, -
2720,789, UP
2721,123, -
2721,789, UP
2722,123, UP
2723,123, -
2723,789, UP
2724,123, -
2724,789, UP
2725,123, -
2725,789, -
2725,456, -
2725,329, -
2726,123, -
2726,789, UP
2727,123, -
2727,789, -
2727,456, UP
2728,123, -
2728,789, UP
2729,123, UP
2730,123, -
2730,789, -
2730,456, -
2730,329, -
2731,123, DOWN
2732,123, DOWN
2733,123, DOWN
2734,123, DOWN
2735,123, DOWN
2736,123, DOWN
2737,123, -
2737,789, -
2737,456, -
2737,329, -
2738,123, DOWN
2739,123, -
2739,789, -
2739,456, -
2739,329, -
2740,123, -
2740,789, -
2740,456, -
2740,329, -
2741,123, -
2741,789, -
2741,456, -
2741,329, -
2742,123, -
2742,789, -
2742,456, -
2742,329, -
2743,123, -
2743,789, -
2743,456, -
2743,329, -
2744,123, -
2744,789, -
2744,456, -
2744,329, -
2745,123, -
2745,789, -
2745,456, -
2745,329, -
2746,123, -
2746,789, -
2746,456, -
2746,329, -
2747,123, -
2747,789, -
2747,456, -
2747,329, -
2748,123, -
2748,789, -
2748,456, -
2748,329, -
2749,123, -
2749,789, -
2749,456, -
2749,329, -
2750,123, -
2750,789, -
2750,456, -
2750,329, -
2751,123, -
2751,789, -
2751,456, -
2751,329, -
2752,123, -
2752,789, -
2752,456, -
2752,329, -
2753,123, -
2753,789, -
2753,456, -
2753,329, -
2754,123, -
2754,789, -
2754,456, -
2754,329, -
2755,123, -
2755,789, -
2755,456, -
2755,329, -
2756,123, -
2756,789, -
2756,456, -
2756,329, -
2757,123, -
2757,789, -
2757,456, UP
2758,123, -
2758,789, -
2758,456, -
2758,329, -
2759,123, -
2759,789, UP
2760,123, -
2760,789, -
2760,456, UP
2761,123, -
2761,789, -
2761,456, -
2761,329, UP
2762,123, -
2762,789, -
2762,456, -
2762,329, -
2763,123, -
2763,789, -
2763,456, -
2763,329, -
2764,123, -
2764,789, -
2764,456, UP
2765,123, UP
2766,123, -
2766,789, -
2766,456, -
2766,329, -
2767,123, -
2767,789, UP
2768,123, -
2768,789, -
2768,456, -
2768,329, -
2769,123, -
2769,789, UP
2770,123, -
2770,789, -
2770,456, -
2770,329, -
2771,123, -
2771,789, -
2771,456, -
2771,329, -
2772,123, -
2772,789, -
2772,456, -
2772,329, -
2773,123, -
2773,789, -
2773,456, -
2773,329, -
2774,123, -
2774,789, -
2774,456, -
2774,329, -
2775,123, -
2775,789, -
2775,456, UP
2776,123, -
2776,789, -
2776,456, UP
2777,123, UP
2778,123, UP
2779,123, UP
2780,123, UP
2781,123, UP
2782,123, UP
2783,123, UP
2784,123, UP
2785,123, UP
2786,123, UP
2787,123, UP
2788,123, UP
2789,123, UP
2790,123, UP
2791,123, UP
2792,123, UP
2793,123, UP
2794,123, UP
2795,123, UP
2796,123, UP
2797,123, UP
2798,123, UP
2799,123, UP
on,2600,
2800,123, UP
2801,123, UP
2802,123, UP
2803,123, UP
2804,123, UP
2805,123, UP
2806,123, UP
2807,123, UP
2808,123, UP
2809,123, UP
2810,123, UP
2811,123, -
2811,789, UP
2812,123, UP
2813,123, UP
2814,123, UP
2815,123, UP
2816,123, UP
2817,123, -
2817,789, -
2817,456, UP
2818,123, UP
2819,123, UP
2820,123, UP
2821,123, UP
2822,123, UP
2823,123, UP
2824,123, -
2824,789, UP
2825,123, -
2825,789, UP
2826,123, UP
2827,123, UP
2828,123, UP
2829,123, UP
2830,123, UP
2831,123, UP
2832,123, -
2832,789, UP
2833,123, UP
2834,123, UP
2835,123, -
2835,789, -
2835,456, UP
2836,123, -
2836,789, UP
2837,123, UP
2838,123, UP
2839,123, UP
2840,123, -
2840,789, UP
2841,123, UP
2842,123, UP
2843,123, UP
2844,123, UP
2845,123, UP
2846,123, UP
2847,123, UP
2848,123, UP
2849,123, -
2849,789, UP
2850,123, UP
2851,123, UP
2852,123, UP
2853,123, UP
2854,123, UP
2855,123, UP
2856,123, UP
2857,123, UP
2858,123, UP
2859,123, UP
2860,123, UP
2861,123, UP
2862,123, UP
2863,123, UP
2864,123, UP
2865,123, UP
2866,123, UP
2867,123, UP
2868,123, UP
2869,123, UP
2870,123, UP
2871,123, UP
2872,123, UP
2873,123, UP
2874,123, UP
2875,123, UP
2876,123, UP
2877,123, UP
2878,123, UP
2879,123, UP
2880,123, UP
2881,123, DOWN
2882,123, DOWN
2883,123, DOWN
2884,123, DOWN
2885,123, DOWN
2886,123, DOWN
2887,123, DOWN
2888,123, -
2888,789, DOWN
2889,123, DOWN
2890,123, DOWN
2891,123, DOWN
2892,123, DOWN
2893,123, DOWN
2894,123, -
2894,789, -
2894,456, -
2894,329, -
2895,123, DOWN
2896,123, -
2896,789, -
2896,456, -
2896,329, DOWN
2897,123, -
2897,789, -
2897,456, DOWN
2898,123, -
2898,789, DOWN
2899,123, -
2899,789, -
2899,456, -
2899,329, -
on,2700,
2900,123, -
2900,789, DOWN
2901,123, -
2901,789, -
2901,456, -
2901,329, -
2902,123, -
2902,789, -
2902,456, -
2902,329, DOWN
2903,123, -
2903,789, -
2903,456, -
2903,329, -
2904,123, -
2904,789, -
2904,456, -
2904,329, -
2905,123, -
2905,789, -
2905,456, -
2905,329, -
2906,123, -
2906,789, -
2906,456, -
2906,329, -
2907,123, -
2907,789, -
2907,456, -
2907,329, -
2908,123, -
2908,789, -
2908,456, UP
2909,123, UP
2910,123, -
2910,789, -
2910,456, DOWN
2911,123, UP
2912,123, UP
2913,123, UP
2914,123, -
2914,789, -
2914,456, -
2914,329, -
2915,123, -
2915,789, -
2915,456, -
2915,329, UP
2916,123, -
2916,789, -
2916,456, -
2916,329, -
2917,123, -
2917,789, UP
2918,123, -
2918,789, -
2918,456, -
2918,329, -
2919,123, -
2919,789, -
2919,456, -
2919,329, -
2920,123, -
2920,789, -
2920,456, -
2920,329, UP
2921,123, -
2921,789, UP
2922,123, -
