index,seed,trend
2200,123, DOWN
2201,123, UP
2202,123, DOWN
2203,123, DOWN
2204,123, DOWN
2205,123, UP
2206,123, DOWN
2207,123, UP
2208,123, -
2208,789, DOWN
2209,123, -
2209,789, DOWN
2210,123, -
2210,789, -
2210,456, -
2210,329, -
2211,123, -
2211,789, DOWN
2212,123, -
2212,789, DOWN
2213,123, DOWN
2214,123, DOWN
2215,123, -
2215,789, -
2215,456, DOWN
2216,123, -
2216,789, -
2216,456, UP
2217,123, -
2217,789, DOWN
2218,123, DOWN
2219,123, UP
2220,123, DOWN
2221,123, UP
2222,123, -
2222,789, -
2222,456, -
2222,329, -
2223,123, UP
2224,123, UP
2225,123, -
2225,789, UP
2226,123, -
2226,789, -
2226,456, -
2226,329, -
2227,123, -
2227,789, -
2227,456, -
2227,329, -
2228,123, -
2228,789, -
2228,456, UP
2229,123, -
2229,789, -
2229,456, -
2229,329, -
2230,123, -
2230,789, -
2230,456, -
2230,329, -
2231,123, UP
2232,123, UP
2233,123, -
2233,789, -
2233,456, -
2233,329, -
2234,123, -
2234,789, -
2234,456, -
2234,329, -
2235,123, UP
2236,123, UP
2237,123, UP
2238,123, UP
2239,123, UP
2240,123, UP
2241,123, UP
2242,123, UP
2243,123, -
2243,789, -
2243,456, -
2243,329, -
2244,123, -
2244,789, -
2244,456, -
2244,329, -
2245,123, -
2245,789, -
2245,456, -
2245,329, -
2246,123, -
2246,789, -
2246,456, -
2246,329, -
2247,123, -
2247,789, -
2247,456, -
2247,329, -
2248,123, -
2248,789, -
2248,456, -
2248,329, -
2249,123, -
2249,789, -
2249,456, -
2249,329, -
2250,123, -
2250,789, -
2250,456, -
2250,329, -
2251,123, -
2251,789, -
2251,456, -
2251,329, -
2252,123, -
2252,789, -
2252,456, -
2252,329, -
2253,123, -
2253,789, -
2253,456, -
2253,329, -
2254,123, -
2254,789, -
2254,456, UP
2255,123, -
2255,789, -
2255,456, -
2255,329, -
2256,123, -
2256,789, -
2256,456, -
2256,329, -
2257,123, -
2257,789, -
2257,456, -
2257,329, -
2258,123, -
2258,789, -
2258,456, UP
2259,123, -
2259,789, -
2259,456, -
2259,329, -
2260,123, -
2260,789, -
2260,456, -
2260,329, -
2261,123, -
2261,789, -
2261,456, -
2261,329, -
2262,123, -
2262,789, -
2262,456, -
2262,329, -
2263,123, -
2263,789, -
2263,456, -
2263,329, -
2264,123, -
2264,789, -
2264,456, -
2264,329, -
2265,123, -
2265,789, -
2265,456, -
2265,329, -
2266,123, -
2266,789, -
2266,456, -
2266,329, -
2267,123, -
2267,789, -
2267,456, -
2267,329, -
2268,123, -
2268,789, -
2268,456, -
2268,329, -
2269,123, -
2269,789, -
2269,456, -
2269,329, -
2270,123, -
2270,789, -
2270,456, -
2270,329, -
2271,123, -
2271,789, -
2271,456, -
2271,329, -
2272,123, -
2272,789, -
2272,456, -
2272,329, -
2273,123, -
2273,789, -
2273,456, -
2273,329, -
2274,123, -
2274,789, -
2274,456, -
2274,329, -
2275,123, -
2275,789, -
2275,456, -
2275,329, -
2276,123, -
2276,789, -
2276,456, -
2276,329, -
2277,123, -
2277,789, -
2277,456, -
2277,329, -
2278,123, -
2278,789, UP
2279,123, -
2279,789, -
2279,456, -
2279,329, -
2280,123, -
2280,789, -
2280,456, -
2280,329, -
2281,123, -
2281,789, -
2281,456, UP
2282,123, -
2282,789, UP
2283,123, -
2283,789, -
2283,456, -
2283,329, -
2284,123, -
2284,789, -
2284,456, DOWN
2285,123, UP
2286,123, -
2286,789, -
2286,456, DOWN
2287,123, UP
2288,123, DOWN
2289,123, DOWN
2290,123, DOWN
2291,123, DOWN
2292,123, -
2292,789, DOWN
2293,123, DOWN
2294,123, DOWN
2295,123, DOWN
2296,123, -
2296,789, -
2296,456, -
2296,329, -
2297,123, -
2297,789, DOWN
2298,123, -
2298,789, -
2298,456, -
2298,329, -
2299,123, DOWN
on,2100,
2300,123, -
2300,789, UP
2301,123, DOWN
2302,123, UP
2303,123, DOWN
2304,123, -
2304,789, DOWN
2305,123, DOWN
2306,123, -
2306,789, -
2306,456, -
2306,329, -
2307,123, -
2307,789, UP
2308,123, -
2308,789, UP
2309,123, -
2309,789, UP
2310,123, UP
2311,123, DOWN
2312,123, DOWN
2313,123, DOWN
2314,123, DOWN
2315,123, UP
2316,123, UP
2317,123, -
2317,789, -
2317,456, UP
2318,123, -
2318,789, -
2318,456, -
2318,329, -
2319,123, DOWN
2320,123, DOWN
2321,123, -
2321,789, -
2321,456, -
2321,329, -
2322,123, DOWN
2323,123, DOWN
2324,123, DOWN
2325,123, -
2325,789, -
2325,456, DOWN
2326,123, UP
2327,123, DOWN
2328,123, -
2328,789, DOWN
2329,123, DOWN
2330,123, UP
2331,123, UP
2332,123, -
2332,789, DOWN
2333,123, DOWN
2334,123, -
2334,789, -
2334,456, -
2334,329, -
2335,123, UP
2336,123, DOWN
2337,123, -
2337,789, -
2337,456, -
2337,329, DOWN
2338,123, -
2338,789, -
2338,456, DOWN
2339,123, DOWN
2340,123, DOWN
2341,123, -
2341,789, -
2341,456, -
2341,329, -
2342,123, DOWN
2343,123, -
2343,789, -
2343,456, DOWN
2344,123, -
2344,789, -
2344,456, -
2344,329, -
2345,123, -
2345,789, -
2345,456, -
2345,329, -
2346,123, -
2346,789, -
2346,456, -
2346,329, -
2347,123, DOWN
2348,123, -
2348,789, -
2348,456, DOWN
2349,123, -
2349,789, -
2349,456, -
2349,329, -
2350,123, -
2350,789, -
2350,456, -
2350,329, -
2351,123, -
2351,789, -
2351,456, -
2351,329, -
2352,123, -
2352,789, -
2352,456, -
2352,329, -
2353,123, DOWN
2354,123, -
2354,789, DOWN
2355,123, DOWN
2356,123, -
2356,789, -
2356,456, -
2356,329, -
2357,123, -
2357,789, -
2357,456, -
2357,329, -
2358,123, -
2358,789, -
2358,456, -
2358,329, -
2359,123, -
2359,789, -
2359,456, -
2359,329, DOWN
2360,123, -
2360,789, -
2360,456, -
2360,329, -
2361,123, -
2361,789, -
2361,456, -
2361,329, -
2362,123, -
2362,789, -
2362,456, DOWN
2363,123, -
