t_stat,p_value,CI_1,CI_5,CI_10,i,j,i_sybl,j_sybl,i_sect,j_sect
-7.402210295851942,9.181253985119644e-10,-3.899785172720161,-3.3379951761023112,-3.0457444858185734,284,426,MGM,ULTA,Consumer Discretionary,Consumer Discretionary
-6.803273722585307,2.5024647307902337e-08,-3.8978502478420163,-3.3369165849187805,-3.0449959583098734,43,65,APD,BLL,Materials,Materials
-6.117126744335327,9.034848408101113e-07,-3.8978502478420163,-3.3369165849187805,-3.0449959583098734,215,290,HRL,MNST,Consumer Staples,Consumer Staples
-6.077111518539544,1.1048066164968522e-06,-3.8981523205832795,-3.3370850189498915,-3.04511285748811,6,372,ABT,RMD,Health Care,Health Care
-6.0751969291428205,1.1154648308977694e-06,-3.897921199474541,-3.3369561487631434,-3.0450234172930437,124,222,DHR,IDXX,Health Care,Health Care
-6.014510595161616,1.5104816959518981e-06,-3.8978502478420163,-3.3369165849187805,-3.0449959583098734,103,286,COST,MKC,Consumer Staples,Consumer Staples
-5.911170190246715,2.5177946673889665e-06,-3.8978502478420163,-3.3369165849187805,-3.0449959583098734,8,267,ADBE,LRCX,Information Technology,Information Technology
-5.747676397107853,5.571372213509375e-06,-3.8980206025036224,-3.3370115759197665,-3.045061885802532,330,379,ORLY,SBUX,Consumer Discretionary,Consumer Discretionary
-5.720556830460566,6.344954029083833e-06,-3.8978502478420163,-3.3369165849187805,-3.0449959583098734,342,392,PGR,SPGI,Financials,Financials
-5.6984187098473,7.052784864934698e-06,-3.8978502478420163,-3.3369165849187805,-3.0449959583098734,183,289,GD,MMM,Industrials,Industrials
-5.6152496270068495,1.0461613710941147e-05,-3.898689339402329,-3.33738441306477,-3.045320640043572,172,332,FIS,PAYX,Information Technology,Information Technology
-5.5144048273085415,1.676365486418215e-05,-3.8985166066743417,-3.3372881188117276,-3.0452538119091117,373,430,ROK,UPS,Industrials,Industrials
